annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_en_france;nombre_de_gagnant_au_rang1_en_europe;rapport_du_rang1;nombre_de_gagnant_au_rang2_en_france;nombre_de_gagnant_au_rang2_en_europe;rapport_du_rang2;nombre_de_gagnant_au_rang3_en_france;nombre_de_gagnant_au_rang3_en_europe;rapport_du_rang3;nombre_de_gagnant_au_rang4_en_france;nombre_de_gagnant_au_rang4_en_europe;rapport_du_rang4;nombre_de_gagnant_au_rang5_en_france;nombre_de_gagnant_au_rang5_en_europe;rapport_du_rang5;nombre_de_gagnant_au_rang6_en_france;nombre_de_gagnant_au_rang6_en_europe;rapport_du_rang6;nombre_de_gagnant_au_rang7_en_france;nombre_de_gagnant_au_rang7_en_europe;rapport_du_rang7;nombre_de_gagnant_au_rang8_en_france;nombre_de_gagnant_au_rang8_en_europe;rapport_du_rang8;nombre_de_gagnant_au_rang9_en_france;nombre_de_gagnant_au_rang9_en_europe;rapport_du_rang9;nombre_de_gagnant_au_rang10_en_france;nombre_de_gagnant_au_rang10_en_europe;rapport_du_rang10;nombre_de_gagnant_au_rang11_en_france;nombre_de_gagnant_au_rang11_en_europe;rapport_du_rang11;nombre_de_gagnant_au_rang12_en_france;nombre_de_gagnant_au_rang12_en_europe;rapport_du_rang12;numero_jokerplus;devise;
2011008;VE;20110225;20110427;42;45;13;48;12;3;9;-12-13-42-45-48-;-3-9-;0;0;0;2;6;597356,1;2;8;127139,9;19;100;7265,1;363;1489;325,2;479;2369;143,1;1175;5108;94,8;16630;73560;33,5;19642;84797;25,1;24524;109900;20,7;109571;472558;10,3;271680;1195253;9,7;2 679 903;eur;
2011007;VE;20110218;20110420;45;3;49;15;2;9;5;-2-3-15-45-49-;-5-9-;0;0;0;4;6;522978,5;1;9;98941,8;23;95;6695,3;245;1266;334,9;331;1792;165,6;1076;5369;78,9;14081;70750;30,5;17239;84891;21,9;19288;97771;20,3;95836;460162;9,3;228204;1108449;9,1;0 039 169;eur;
2011006;VE;20110211;20110413;15;14;12;19;23;7;8;-12-14-15-19-23-;-7-8-;0;0;0;1;13;235458,6;1;8;108581,4;33;131;4736,3;528;2224;185,9;840;3522;82,2;1137;5096;81,1;20677;90858;23,2;14216;67292;27;31576;139090;13,9;67331;332311;12,5;274984;1269935;7,8;9 031 034;eur;
2011005;VE;20110204;20110406;47;35;11;2;24;5;9;-2-11-24-35-47-;-5-9-;0;5;5789546;1;10;322541,2;2;14;65379,9;22;115;5685,2;349;1684;258,8;523;2557;119,3;1211;5790;75,2;15612;75466;29,4;18082;85680;22,3;22653;109636;18,6;96273;460576;9,5;233446;1119080;9,3;1 464 084;eur;
2011004;VE;20110128;20110330;41;24;23;42;13;5;1;-13-23-24-41-42-;-1-5-;0;0;0;2;11;280808;3;8;109572;14;94;6660,9;222;1381;302,2;333;2082;140,3;914;4976;83,8;12654;71563;29,7;14719;77515;23,6;18689;103971;18,8;84362;410204;10,2;207331;1113563;8,9;0 124 049;eur;
2011003;VE;20110121;20110323;21;11;13;3;18;5;4;-3-11-13-18-21-;-4-5-;0;2;14502127;3;17;190499;5;30;30634,3;49;183;3587,1;876;3721;117,6;1237;5003;61,2;1426;7318;59,8;27787;127320;17,5;17642;91338;21;39382;173266;11,8;79467;419668;10,5;315402;1519303;6,9;5 599 931;eur;
2011002;VE;20110114;20110316;44;2;24;14;39;7;6;-2-14-24-39-44-;-6-7-;0;0;0;1;8;384523,2;4;9;96996,8;15;84;7423,2;292;1584;262,4;474;2483;117,1;769;4006;103,7;14668;72932;29;12264;59987;30,4;22924;113041;17,2;68380;328687;12,7;215465;1046185;9,5;1 328 436;eur;
2011001;VE;20110107;20110309;32;22;1;48;50;7;6;-1-22-32-48-50-;-6-7-;0;1;15000000;3;8;377886,9;13;29;29582,9;13;84;7295,1;378;1786;228,7;663;2733;104,6;841;4142;98,6;14369;69644;29,9;11621;58510;30,7;22689;106931;17,9;65836;317067;13;204026;1009468;9,7;2 143 281;eur;
2010053;VE;20101231;20110302;2;24;43;38;34;1;7;-2-24-34-38-43-;-1-7-;0;1;15338239;2;7;506709,6;1;12;83880,9;15;89;8078,4;325;1420;337,5;439;2290;146,5;922;4561;105;14997;71884;34;14607;69038;30,5;23041;111469;20,2;86710;394001;12,2;227482;1082414;10,6;6 355 494;eur;
2010052;VE;20101224;20110223;46;19;42;36;38;8;2;-19-36-38-42-46-;-2-8-;0;1;19106757;2;8;552304,6;0;10;125388;33;177;5060;321;2034;293,5;478;3261;128,1;1450;7770;76,8;14692;93879;32,4;18494;109816;23,9;23906;149944;18,7;106463;612841;9,8;210277;1360527;10,5;6 613 705;eur;
2010051;VE;20101217;20110216;3;35;29;42;20;3;8;-3-20-29-35-42-;-3-8-;0;1;43677118;3;7;494521,4;2;13;75566,1;22;119;5896,5;338;1545;302,7;438;2261;144,8;1171;5663;82,6;15831;76015;31,3;18669;85363;24,1;22584;109798;20;102503;471696;10;250354;1171514;9,5;1 898 342;eur;
2010050;VE;20101210;20110209;46;2;10;3;33;8;7;-2-3-10-33-46-;-7-8-;0;0;0;0;4;792483,3;1;8;112446,9;18;82;7836;354;1492;287,1;552;2306;130;796;3898;109,8;16346;72998;29,9;12282;60294;31,2;25227;112168;17,9;65597;323112;13,3;247512;1127365;9,1;4 447 858;eur;
2010049;VE;20101203;20110202;28;32;46;8;19;4;7;-8-19-28-32-46-;-4-7-;0;0;0;1;4;756149,4;6;12;71527,6;24;140;4379,2;424;1839;222,2;616;2769;103,3;1088;5434;75,2;16319;76211;27,3;15188;75241;23,9;24902;115331;16,6;80061;401078;10,2;223228;1052275;9,3;8 526 446;eur;
2010048;VE;20101126;20110126;9;41;36;49;28;7;5;-9-28-36-41-49-;-5-7-;0;1;45322973;1;8;436471,3;1;10;99090,7;36;132;5362;371;1664;283,5;476;2379;138,8;1463;6717;70,2;16619;76311;31,5;22084;101747;20,4;23426;106847;20,7;125649;579066;8,2;255508;1180008;9,5;3 776 257;eur;
2010047;VE;20101119;20110119;36;12;15;45;32;9;7;-12-15-32-36-45-;-7-9-;0;0;0;8;22;148025,1;5;18;51342;26;106;6227,4;378;1763;249,6;593;2874;107,1;952;4903;89,7;15665;76947;29,1;15118;73615;26,3;23661;117165;17,6;80639;386014;11,5;223678;1109521;9,5;1 317 659;eur;
2010046;VE;20101112;20110112;23;47;7;19;29;6;1;-7-19-23-29-47-;-1-6-;0;0;0;2;10;373261,3;0;16;66203,4;17;157;4819,1;324;2242;224,9;675;4376;80,6;1149;6959;72,4;16361;97473;26,3;17160;95232;23,3;28227;174923;13,5;86313;476961;10,6;231038;1334200;9;7 045 455;eur;
2010045;VE;20101105;20110105;21;23;33;50;40;5;4;-21-23-33-40-50-;-4-5-;0;1;29087861;2;5;651563,5;2;13;71116,6;24;146;4523;359;2070;212,6;460;2587;119,1;1074;5625;78,2;17028;89283;25,1;14650;77905;24,8;22533;115235;17,9;76814;395996;11,2;251412;1270561;8,3;5 655 464;eur;
2010044;VE;20101029;20101229;32;22;16;42;20;8;9;-16-20-22-32-42-;-8-9-;0;0;0;1;5;621600,2;0;10;88200;15;75;8400;309;1584;265,1;457;2611;112,6;743;3844;109,2;14773;72958;29,3;10875;54674;33,8;23996;119764;16,4;59788;293543;14,4;217192;1025569;9,8;8 853 198;eur;
2010043;VE;20101022;20101222;39;5;11;9;4;3;5;-4-5-9-11-39-;-3-5-;1;2;14710590;4;13;256530,5;4;14;67599,2;67;220;3072,6;703;2725;165,3;915;3285;96;2447;10261;43,9;27863;112719;20,3;30515;139913;14,1;36271;143643;14,7;136239;657783;6,9;327989;1462874;7,3;9 826 957;eur;
2010042;VE;20101015;20101215;38;31;2;36;43;7;3;-2-31-36-38-43-;-3-7-;0;0;0;0;7;464143,5;1;7;131716,4;20;103;6394;240;1242;353,5;335;1720;178,6;1088;5600;78,4;11657;59147;37,8;18641;91805;21;17388;86437;23,8;124251;573970;7,7;193989;947104;11,1;7 630 715;eur;
2010041;VE;20101008;20101208;46;35;39;30;9;6;8;-9-30-35-39-46-;-6-8-;0;1;129818431;2;9;766168;5;19;102991,2;44;208;6719,8;641;3048;305,7;979;4702;138,7;2158;10046;92,7;30577;146482;32,4;30997;146825;27,9;49509;231075;18,9;169763;803206;11,7;468665;2206850;10,1;2 979 169;eur;
2010040;VE;20101001;20101201;4;27;6;48;1;1;6;-1-4-6-27-48-;-1-6-;0;0;0;3;16;392669,4;6;18;99051,7;150;389;3273,8;1609;4470;189,9;2382;6591;90,1;4541;14343;59,1;48666;171491;25,2;47496;168704;22,1;68139;243776;16,3;200927;788968;10,8;581364;2195498;9,2;8 135 267;eur;
2010039;VE;20100924;20101124;1;16;48;4;40;1;9;-1-4-16-40-48-;-1-9-;0;2;14337323;0;5;632452,3;0;5;179479,7;31;124;5169,3;267;1257;339,9;409;2093;142,9;1231;5266;81,1;13033;63390;34,3;19360;82966;22,6;20782;104774;19,1;99610;440024;9,8;198100;965680;10,6;4 949 849;eur;
2010038;VE;20100917;20101117;50;27;38;17;29;3;1;-17-27-29-38-50-;-1-3-;0;0;0;3;5;557300,9;3;14;56483,2;25;90;6275,9;313;1714;219,6;495;2675;98,5;837;4232;88,9;14505;72168;26,6;12555;60883;27,2;22808;112263;15,7;69379;323625;11,7;209117;1014526;8,9;6 230 453;eur;
2010037;VE;20100910;20101110;35;41;21;45;17;5;1;-17-21-35-41-45-;-1-5-;0;1;15000000;1;6;480062;3;13;62877,1;55;251;2326,1;381;1746;222,9;573;2411;113;1078;4872;79,8;15609;71641;27,7;15733;71685;23,8;22019;99911;18,3;82087;367203;10,7;217337;1011903;9,2;4 936 917;eur;
2010036;VE;20100903;20101103;24;49;47;26;13;4;8;-13-24-26-47-49-;-4-8-;1;1;15000000;1;11;259300,1;2;10;80943,6;22;106;5454,4;295;1357;284;450;2223;121,3;1012;4781;80,6;13157;61922;31,7;14329;68243;24,8;21333;101153;17,9;77959;369181;10,5;198491;920843;10;5 564 634;eur;
2010035;VE;20100827;20101027;13;6;30;1;49;1;9;-1-6-13-30-49-;-1-9-;0;2;7500000;2;7;400155,9;0;10;79490,4;77;215;2640,8;468;1768;214;685;2680;98,8;2250;7583;49,9;18481;74100;26;22738;87230;19;26941;113445;15,6;98063;397893;9,6;221489;961703;9,4;4 673 012;eur;
2010034;VE;20100820;20101020;27;31;5;42;40;6;1;-5-27-31-40-42-;-1-6-;0;1;15000000;0;4;691608,5;1;7;112152,7;18;100;5607,6;236;1160;322,2;417;2058;127,1;896;4310;86,7;11288;56756;33,5;14516;66187;24,8;19452;97891;17,9;75146;345286;10,9;176318;861493;10,4;8 274 457;eur;
2010033;VE;20100813;20101013;15;9;47;21;4;7;2;-4-9-15-21-47-;-2-7-;1;3;5000000;0;18;183775,1;4;19;49407,5;51;177;3788,3;592;2079;215;898;3052;102,5;2048;7099;62,9;27560;93584;24,3;28229;95373;20,6;40348;136680;15,3;142746;484186;9,3;375752;1283057;8,3;6 479 963;eur;
2010032;VE;20100806;20101006;42;28;13;29;25;4;5;-13-25-28-29-42-;-4-5-;0;1;15000000;0;3;951968,7;0;6;135076,6;16;104;5566,3;314;1662;232,2;370;2073;130,3;897;4835;79,8;15349;78942;24,9;13028;68740;24,7;20334;102211;17,7;68822;354588;10,9;220990;1128890;8,2;5 963 343;eur;
2010031;VE;20100730;20100929;39;11;3;4;28;8;2;-3-4-11-28-39-;-2-8-;0;1;28092206;0;4;756893,1;6;11;78106,9;39;166;3696,9;351;1740;235,1;562;2788;102,7;1592;7022;58,2;15915;77801;26,8;21252;95496;18,8;26876;126578;15,1;101301;469259;8,8;225901;1094767;8,9;7 019 656;eur;
2010030;VE;20100723;20100922;4;13;37;35;46;9;3;-4-13-35-37-46-;-3-9-;0;0;0;0;6;478945,4;1;3;271833,9;18;80;7281,2;278;1395;278,3;398;1969;138;820;4147;93,6;11696;59117;33,5;13330;64460;26,5;17410;88658;20,5;77501;372827;10,5;188530;925480;10;3 686 395;eur;
2010029;VE;20100716;20100915;49;46;45;39;38;7;8;-38-39-45-46-49-;-7-8-;1;1;42218533;2;13;252003,8;1;13;71514,6;13;77;8624,2;315;1424;310,8;381;2006;154,4;774;3993;110,8;11644;58356;38,6;11669;58220;33,4;17705;86816;23,9;62411;316227;14,1;189292;945822;11,2;4 326 008;eur;
2010028;VE;20100709;20100908;37;9;49;24;39;3;9;-9-24-37-39-49-;-3-9-;0;0;0;0;6;503039,1;0;2;428263;18;132;4634,8;306;1709;238,6;387;2214;128,9;1156;6297;64,7;14498;75411;27,5;15560;78800;22,7;18905;100786;19;83559;402966;10,2;199875;1018412;9,6;2 609 053;eur;
2010027;VE;20100702;20100901;46;41;36;13;12;8;1;-12-13-36-41-46-;-1-8-;0;0;0;0;2;1417999,5;1;3;268270,1;12;64;8982,2;209;1074;356,8;329;1744;153,8;714;3323;115,3;10584;51460;37,9;11064;52136;32,3;17783;86182;20,9;63787;295603;13;176288;845300;10,8;0 482 393;eur;
2010026;VE;20100625;20100825;18;1;8;28;31;9;8;-1-8-18-28-31-;-8-9-;1;1;27989077;1;8;375465,4;5;13;65569,8;17;117;5203,9;522;2320;174,9;671;3193;88,9;1025;4939;82,1;19438;89363;23,1;11901;58872;30,3;26498;126397;15;57960;297573;13,7;232641;1082000;9;6 850 184;eur;
2010025;VE;20100618;20100818;2;29;31;38;32;4;1;-2-29-31-32-38-;-1-4-;0;0;0;0;0;0;0;5;744549,1;17;66;8906;165;959;408,6;255;1443;190;697;3573;109,6;9777;52440;38,1;10665;54653;31,5;15620;84541;21,7;61648;305521;12,9;171954;864737;10,8;7 912 614;eur;
2010024;VE;20100611;20100811;44;2;36;22;24;2;1;-2-22-24-36-44-;-1-2-;0;1;15000000;2;8;371744,4;1;9;93773,3;21;102;5910;415;1772;226,7;498;2652;106;829;3950;101,7;15577;73447;27,9;12114;58565;30,1;22289;111469;16,9;66236;310071;13;219332;1017350;9,4;0 903 546;eur;
2010023;VE;20100604;20100804;34;42;17;40;4;9;4;-4-17-34-40-42-;-4-9-;0;1;15000000;1;7;422541;1;11;76306,5;16;103;5820,8;241;1309;305,3;382;2118;132,1;931;4599;86,9;12856;62917;32,3;15140;68582;25,6;20295;101022;18,5;83669;368681;10,9;203370;944995;10,1;7 172 157;eur;
2010022;VE;20100528;20100728;9;31;32;33;4;3;7;-4-9-31-32-33-;-3-7-;0;1;15000000;1;8;382338,7;0;5;173602,4;26;93;6666,7;221;1189;347,6;374;1993;145,1;1132;5666;72,9;12951;63784;33;22165;104351;17,4;19807;96204;20,1;127671;593428;7;222609;1052174;9,4;6 312 986;eur;
2010021;VE;20100521;20100721;38;19;50;7;30;4;7;-7-19-30-38-50-;-4-7-;0;1;15000000;0;8;386026,8;3;15;58425,6;25;142;4408,3;398;1905;219;535;2577;113,3;1227;5975;69,8;17234;82019;25,9;18326;86699;21,1;23885;115659;16,9;92707;437444;9,6;249618;1162955;8,6;1 800 927;eur;
2010020;VE;20100514;20100714;17;31;43;47;1;3;2;-1-17-31-43-47-;-2-3-;0;1;100037101;2;14;350432,8;6;22;63284,5;31;135;7366,4;476;2268;292,3;713;3214;144,3;1207;5756;115,1;22999;103596;32,6;20623;93873;31;33407;148842;20,9;116293;520787;12,8;369557;1618776;9,8;6 453 631;eur;
2010019;VE;20100507;20100707;15;21;6;3;32;7;9;-3-6-15-21-32-;-7-9-;0;0;0;3;9;475961,8;4;25;48625,2;59;209;4154,5;558;2759;209,8;942;4740;85,4;1636;7550;76,6;27131;121843;24,2;23248;101710;25;43560;194903;13,9;119283;516927;11,3;374788;1627783;8,5;2 019 269;eur;
2010018;VE;20100430;20100630;6;36;22;25;24;3;8;-6-22-24-25-36-;-3-8-;0;0;0;2;11;348880,3;1;12;90756;31;154;5051,3;369;1918;270,3;596;2913;124,6;1389;6421;80,7;20455;96384;27,4;20716;94689;24;32018;147469;16,5;110510;512608;10,2;297931;1365594;9,1;9 850 627;eur;
2010017;VE;20100423;20100623;46;3;7;8;43;6;8;-3-7-8-43-46-;-6-8-;0;0;0;0;4;856441,2;2;9;108019,6;26;95;7309,5;279;1319;350,9;434;2101;154,2;953;4355;106,3;16567;72970;32,3;17021;74340;27,4;26143;114060;19;91219;410669;11,3;263846;1166523;9,5;3 313 271;eur;
2010016;VE;20100416;20100616;17;11;26;40;9;9;3;-9-11-17-26-40-;-3-9-;0;0;0;3;10;321166,3;5;20;45570,8;33;167;3898,2;634;2469;175,7;926;3768;80,6;1617;6817;63,6;23260;97622;22,6;20680;89978;21,2;32982;144157;14,1;94699;434766;10;286235;1271007;8,1;3 637 933;eur;
2010015;VE;20100409;20100609;44;23;24;21;7;3;4;-7-21-23-24-44-;-3-4-;0;0;0;1;6;504823,5;1;5;171912,8;19;126;4872,8;313;1791;228,5;465;2537;112,9;1094;5501;74,4;16506;87456;23,8;15484;76160;23,6;24230;124331;15,4;80023;379820;10,8;246778;1228496;7,9;5 095 547;eur;
2010014;VE;20100402;20100602;26;18;12;24;45;5;4;-12-18-24-26-45-;-4-5-;0;1;15000000;2;10;303894,5;2;12;71866,9;33;142;4338;497;2138;192;579;2611;110;1208;5363;76,5;19886;89146;23,4;15836;73592;24,5;26444;115039;16,7;79757;376040;11;266550;1196837;8,2;8 802 617;eur;
2010013;VE;20100326;20100526;18;37;8;16;43;2;6;-8-16-18-37-43-;-2-6-;0;1;44378829;0;6;586844,6;1;12;83268,4;22;107;6670,3;283;1587;299,8;426;2415;137,9;1221;5983;79,5;14819;75630;32;18872;92372;22,6;22957;116804;19,1;105167;499861;9,6;235300;1152219;9,9;7 088 202;eur;
2010012;VE;20100319;20100519;38;28;30;39;10;7;2;-10-28-30-38-39-;-2-7-;0;0;0;1;10;327278,6;3;12;77396,9;28;115;5768,7;371;1616;273,6;483;2411;128,4;1202;5353;82,6;16761;77185;29,2;18173;82329;23,6;24772;114795;18,1;96475;444152;10;247759;1154270;9,1;2 058 172;eur;
2010011;VE;20100312;20100512;46;1;26;36;33;7;6;-1-26-33-36-46-;-6-7-;0;0;0;2;6;538881,9;1;5;183511,1;14;75;8738,6;293;1306;334,5;418;1890;161,8;898;4284;101,9;14496;66950;33,2;12534;58621;32,7;20940;93248;22;73486;337382;13;218692;993455;10,5;6 244 733;eur;
2010010;VE;20100305;20100505;19;18;49;12;43;9;3;-12-18-19-43-49-;-3-9-;0;1;46258004;1;8;466113,3;0;10;105820,3;24;130;5814,3;374;1654;304,6;496;2518;140;1356;5986;84,1;18280;83248;30,8;20554;91387;24,2;25930;121158;19,5;107405;482338;10,5;287384;1299098;9,3;2 253 468;eur;
2010009;VE;20100226;20100428;42;11;29;7;18;7;6;-7-11-18-29-42-;-6-7-;0;0;0;0;14;249964,7;4;16;62068,9;36;175;4053,4;583;2998;157,7;745;3845;86;1332;6032;78,3;23900;112383;21,4;17560;79459;26,1;31689;148360;14,9;83048;387526;12,3;313253;1429397;7,9;4 852 426;eur;
2010008;VE;20100219;20100421;37;12;38;31;43;3;2;-12-31-37-38-43-;-2-3-;0;0;0;1;4;836234,2;1;12;79103,2;17;91;7450,8;238;1320;342,4;354;1937;163,3;780;3932;114,9;13072;67780;34;12080;58422;34;18471;94371;22,5;71800;337273;13,5;223767;1077085;10;8 898 047;eur;
2010007;VE;20100212;20100414;5;45;1;38;18;6;4;-1-5-18-38-45-;-4-6-;0;2;64809203;1;12;570771,3;5;20;97185,3;53;234;5933,1;683;2942;314,6;1181;4897;132,3;2494;10700;86,5;33060;140642;33,5;42640;172466;23,6;56270;232284;18,7;241390;959032;9,7;534613;2195942;10,1;0 645 223;eur;
2010006;VE;20100205;20100407;46;38;34;35;39;3;4;-34-35-38-39-46-;-3-4-;0;0;0;10;17;362492,6;2;17;102869,5;53;186;6715,7;687;2625;317,2;1029;3850;151,4;2409;8380;99,3;32839;118860;35,7;35151;129953;28,1;48879;176519;22,1;195889;725556;11,5;507395;1902863;10,5;3 314 744;eur;
2010005;VE;20100129;20100331;39;43;30;17;9;7;5;-9-17-30-39-43-;-5-7-;0;1;29242656;2;6;548935,6;6;10;93467,4;25;164;4070,8;361;1912;232,7;515;2660;117,1;1452;7449;59,7;16519;83708;27,1;21113;106835;18,3;23294;113369;18,4;116602;581746;7,7;243047;1200409;8,8;2 050 851;eur;
2010004;VE;20100122;20100324;4;44;27;22;36;9;7;-4-22-27-36-44-;-7-9-;0;0;0;2;4;770285,9;2;10;87437,8;23;112;5576,3;420;1861;223,7;657;2936;99,2;1006;4605;90,4;17123;79655;26,6;14754;67650;27;25649;120151;16,2;80619;360355;11,6;235969;1080181;9,2;0 802 893;eur;
2010003;VE;20100115;20100317;49;50;26;29;11;4;7;-11-26-29-49-50-;-4-7-;1;2;29703685;3;12;317258,4;4;14;77170,9;41;157;4915,3;587;2773;185,5;780;3255;110,6;1652;7815;65,8;20764;91899;28,5;21317;96337;23,4;31982;137239;17,6;110677;503851;10,3;300274;1316420;9,3;5 846 574;eur;
2010002;VE;20100108;20100310;44;5;14;4;46;9;8;-4-5-14-44-46-;-8-9-;0;0;0;0;4;840125,4;1;6;158942,6;16;76;8962,9;308;1395;325,5;454;2184;145,5;948;4238;107,1;16952;74062;31,2;13332;61054;32,7;26465;119688;17,8;70721;323374;14,1;257070;1103097;9,8;2 559 753;eur;
2010001;VE;20100101;20100303;22;24;27;36;9;7;5;-9-22-24-27-36-;-5-7-;0;0;0;1;10;310160;0;12;73348,6;29;163;3857;429;2037;205,7;556;2566;114,3;1736;8286;50,5;20297;95544;22,3;23486;112515;16,3;27605;126208;15,6;118495;567400;7,4;272601;1271505;7,9;3 106 412;eur;
2009052;VE;20091225;20100224;4;17;5;34;14;5;3;-4-5-14-17-34-;-3-5-;0;0;0;2;5;565024,4;3;5;160344,7;52;200;2863,2;380;1844;207;513;2286;116,9;1608;8675;44;18547;87869;22,1;23017;115269;14,5;23918;112040;16;110323;557441;6,9;243334;1169900;7,8;6 122 523;eur;
2009051;VE;20091218;20100217;49;30;35;32;14;8;3;-14-30-32-35-49-;-3-8-;1;1;59459744;0;3;1205678,4;3;11;93314,1;27;115;6375,5;325;1541;317,1;458;2422;141,2;1117;5258;92,9;14915;74412;33,5;17050;82249;26,1;21777;111728;20,5;96901;459962;10,7;233659;1145864;10,2;9 259 120;eur;
2009050;VE;20091211;20100210;41;43;44;46;20;2;9;-20-41-43-44-46-;-2-9-;0;0;0;0;4;852556,9;2;8;120970,9;9;67;10317,3;235;1152;400;404;1802;179;781;3632;126,8;12601;57352;40,9;13531;59410;34,1;19076;87474;24,7;85046;370911;12,5;198302;909644;12,1;6 975 581;eur;
