annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numero_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_My_Million;numero_Tirage_Exceptionnel_Euro_Millions
2016088;MARDI   ;01/11/2016;2;01/01/2017;10;20;6;37;29;9;1;-6-10-20-29-37-;-1-9-;0;0;0;1;3;245644,5;2;9;19071,1;11;38;2209,3;148;621;144,2;336;1465;85,3;307;1466;48,3;4241;19634;16,6;5680;25885;13,3;12555;58634;11,1;21035;97842;9,4;74813;358325;7,7;168062;808136;4,2;0;0;1;4334,8;41;23,9;89;11;1201;2,7;1575;2,4;5879;2,2;9290;9,3;21512;1,8;162304;2,6;AB4002012;;
2016089;VENDREDI;04/11/2016;3;04/01/2017;7;11;12;48;44;7;3;-7-11-12-44-48-;-3-7-;0;0;0;0;4;299189,9;2;7;39819,8;20;67;2034,9;220;902;161,2;934;3702;54,8;356;1586;72,5;14611;59755;8,8;11253;45474;12,3;18433;81630;12,9;68596;295176;5;163809;683958;6,5;280261;1254788;4,4;0;0;5;1341,5;70;21,7;227;6,6;3862;1,3;3013;1,9;17405;1,1;21619;6,2;42843;1,4;266976;2,4;VB5661268;;
2016090;MARDI   ;08/11/2016;1;08/01/2017;49;47;9;50;5;9;8;-5-9-47-49-50-;-8-9-;1;1;39336342;0;1;845567,8;0;3;65647,4;4;24;4013,7;93;578;177,7;255;1471;97,5;211;1196;68;3666;18718;20;5422;27485;14,4;11123;55266;13,5;19111;95626;11;83543;412673;7,7;168594;823632;4,7;0;0;2;2400,7;22;49,4;82;13,2;962;3,8;1482;2,8;5009;2,9;7663;12,5;22870;1,9;199758;2,3;GK8276422;;
2016091;VENDREDI;11/11/2016;2;11/01/2017;38;49;3;22;23;9;2;-3-22-23-38-49-;-2-9-;0;0;0;1;6;180024,7;1;7;35939,8;7;39;3155,2;136;804;163,2;325;1954;93,7;285;1631;63,7;5761;29267;16,3;6874;36204;13,9;13792;73994;12,9;31815;153956;8,7;105255;542075;7,4;213317;1106799;4,5;1;5010,9;0;0;45;41,5;84;15,1;1496;2,8;1756;2,8;8248;2,1;13350;8,4;27200;1,8;235523;2,3;BA7653453;;
2016092;MARDI   ;15/11/2016;3;15/01/2017;42;7;15;36;48;3;7;-7-15-36-42-48-;-3-7-;0;0;0;0;2;395179;0;3;61361,1;12;55;1637,1;99;581;165,3;412;2108;63,5;220;1167;65,1;6491;32284;10,8;5017;25998;14,2;9188;49068;14,2;38093;178354;5,5;78644;383252;7,7;141638;731957;4,9;0;0;2;2196,6;29;34,3;116;8,5;1721;1,9;1332;2,9;10115;1,3;15794;5,5;20475;1,9;194780;2,2;QC4643655;;
2016093;VENDREDI;18/11/2016;4;18/01/2017;32;27;12;47;3;8;6;-3-12-27-32-47-;-6-8-;0;0;0;0;2;571704,1;3;16;16644,5;14;45;2894,7;150;938;148,1;476;2122;91,3;399;2004;54,8;6704;30680;16,5;8420;40754;13,1;18216;86263;11,7;34598;159108;9;122608;578129;7,4;257749;1219769;4,3;0;0;4;1494,5;37;36,6;101;13,4;1592;2,9;2058;2,5;8341;2,2;13414;8,9;29188;1,8;238014;2,4;BT6641197;;
2016094;MARDI   ;22/11/2016;5;22/01/2017;47;10;5;33;34;10;2;-5-10-33-34-47-;-2-10-;0;0;0;0;1;842897,4;0;3;65440,1;3;22;4364,8;84;500;204,8;230;1146;124,7;200;1090;74,3;3572;17520;21,3;4187;23499;16,7;9967;54944;13,5;20757;95576;11;71602;367122;8,6;166486;864045;4,5;0;0;1;4354;20;49,3;54;18,2;927;3,6;1012;3,8;5835;2,3;8408;10,3;18176;2,1;161551;2,6;VZ6987719;;
2016095;VENDREDI;25/11/2016;1;25/01/2017;28;23;5;11;17;10;11;-5-11-17-23-28-;-10-11-;2;2;30570889;1;6;209907,9;9;33;8889;11;49;2928,1;320;1363;112,2;364;1904;112,1;1093;4792;25,2;4587;24927;22,3;10113;46467;12,6;34700;150408;7,4;21285;121420;12,9;120722;576536;8,2;392036;1769289;3,2;0;0;4;1545,5;83;16,8;84;16,6;1109;4,3;2470;2,2;4803;3,9;6849;18;30118;1,8;178813;3,3;TY2581680;;
2016096;MARDI   ;29/11/2016;2;29/01/2017;38;27;21;28;26;11;9;-21-26-27-28-38-;-9-11-;0;0;0;0;4;189176,2;0;3;58748,4;3;22;3918,4;91;435;211,3;182;1007;127,4;187;986;73,8;2825;14978;22,3;4179;21331;16,6;10310;51277;13;15287;81038;11,7;68130;340644;8,3;170616;821109;4,2;0;0;0;0;15;340,9;46;20,5;709;4,5;1000;3,7;4177;3,1;6491;12,8;17345;2,1;151567;2,6;CN3071394;;
2016097;VENDREDI;02/12/2016;1;01/02/2017;23;32;6;11;31;2;12;-6-11-23-31-32-;-2-12-;0;1;29377167;0;2;565854,2;2;4;65896,9;3;20;6446,4;169;708;194,2;240;1170;164;403;2034;53,5;3702;17370;28,8;7505;34713;15,2;21147;97572;10,2;19359;90478;15,6;106722;488804;8,7;297782;1354982;3,8;0;0;0;0;34;217,3;50;27,3;865;5,3;1721;3,1;4449;4,2;7439;16,1;25045;2,1;202560;2,9;JU7289019;;
2016098;MARDI   ;06/12/2016;2;05/02/2017;27;1;7;11;45;9;4;-1-7-11-27-45-;-4-9-;0;0;0;1;4;184977,1;1;8;21541,6;8;43;1960,3;190;759;118,4;456;1943;64,5;504;1799;39,5;5580;25031;13;7725;31796;10,8;16957;70700;9,2;25685;118640;7,8;97452;413285;6,7;207905;898252;3,8;0;0;4;1055,4;49;19,5;127;7,5;1512;2,1;2028;1,8;6640;1,9;9508;8,8;25650;1,4;156408;2,6;VJ7622029;;
2016099;VENDREDI;09/12/2016;3;08/02/2017;6;40;37;28;12;1;5;-6-12-28-37-40-;-1-5-;0;0;0;3;8;138311,1;0;6;42952,3;14;51;2471,6;183;853;157,6;409;1840;102;510;1886;56,4;6529;27676;17,7;8495;37539;13,8;19427;81417;12;34964;150188;9,2;124426;543595;7,6;269188;1146616;4,4;0;0;3;1975,5;32;41,9;93;14,4;1460;3,1;1979;2,6;7845;2,3;12228;9,6;28073;1,9;232281;2,5;CA8944563;;
2016100;MARDI   ;13/12/2016;4;12/02/2017;28;50;48;29;14;8;2;-14-28-29-48-50-;-2-8-;0;0;0;1;3;276224,8;0;2;96503,8;9;32;2950,1;86;505;199,4;407;1651;85,1;186;1046;76,2;5436;25401;14,4;4869;24510;15,8;10295;52181;14;30648;141240;7,3;78419;380023;8,1;166220;803844;4,7;0;0;4;1118,4;16;63,3;110;9,2;1487;2,3;1118;3,5;8175;1,7;13018;6,8;19068;2,1;187845;2,3;IG5058700;;
2016101;VENDREDI;16/12/2016;5;15/02/2017;45;10;6;30;41;11;4;-6-10-30-41-45-;-4-11-;0;0;0;1;6;201174,7;2;10;28113,5;5;31;4435,8;158;824;178;303;1448;141,3;443;1963;59,1;4605;21497;24,8;7308;33566;16,8;18918;83757;12,7;24691;118116;12,8;111883;498493;9,1;287843;1249755;4,4;0;0;1;6348,6;32;44,9;57;25,2;993;4,9;1595;3,5;5654;3,4;10177;12,4;24886;2,3;232268;2,6;RW5084682;;
2016102;MARDI   ;20/12/2016;1;19/02/2017;15;27;13;21;17;3;2;-13-15-17-21-27-;-2-3-;0;1;61653352;2;14;67191;3;15;14606,2;13;67;1599,4;360;1583;72,2;415;2047;77,9;567;2543;35,5;4903;24069;17,3;10962;50852;8,6;19115;90651;9,1;21892;108723;10,8;130335;607464;5,8;232047;1117419;3,8;0;0;4;1201,5;98;11,1;90;12,1;1104;3,3;2762;1,5;4927;3;7394;13;32323;1,3;196381;2,3;JA1738819;;
2016103;VENDREDI;23/12/2016;2;22/02/2017;46;39;16;20;4;5;2;-4-16-20-39-46-;-2-5-;0;0;0;0;2;603821,6;1;7;40181,9;9;49;2807,7;181;989;148,3;465;2297;89,1;397;1962;59,2;6987;33162;16,1;7734;39591;14,2;16877;80841;13,2;38949;183528;8,2;119398;571233;7,9;239463;1134414;4,9;0;0;1;6040;35;39,1;94;14,5;1509;3;1695;3,1;8701;2,1;16228;7,4;26637;2;272142;2,1;RX7877981;;
2016104;MARDI   ;27/12/2016;1;26/02/2017;32;22;39;25;3;7;12;-3-22-25-32-39-;-7-12-;0;1;25251858;0;3;251503,3;0;2;87866,9;6;14;6139,7;97;497;184,4;178;795;160,9;245;1218;59,5;2551;11807;28,3;4715;22240;15,8;10908;54968;12,1;13488;61594;15,3;70115;326595;8,6;165110;811831;4,2;0;0;1;4145,6;28;33,5;54;17,4;651;4,9;1128;3,2;3184;4;4992;16,6;16387;2,3;158764;2,5;BS3751626;;
2016105;VENDREDI;30/12/2016;2;01/03/2017;10;22;29;47;8;1;3;-8-10-22-29-47-;-1-3-;0;0;0;1;3;379409,6;3;7;37872,3;11;42;3087,4;230;895;154,5;487;2003;96,3;447;1884;58,1;6491;27490;18,3;10039;40900;13;20849;88780;11,3;32923;140437;10,1;136423;568132;7,5;286723;1235236;4,2;0;0;0;0;46;156,8;104;12,8;1402;3,2;2289;2,2;7094;2,5;10697;10,9;30306;1,7;231875;2,4;PJ2658618;;
2017001;MARDI   ;03/01/2017;3;05/03/2017;34;27;49;23;19;11;1;-19-23-27-34-49-;-1-11-;0;0;0;0;0;0;1;7;134726,3;9;30;2904,7;112;572;162,5;245;1093;118,7;356;1489;49,4;3241;15593;21,7;5056;23554;15,2;14621;65312;10,3;16735;79367;12;70990;327904;8,7;195732;891999;3,9;0;0;2;2065,4;24;39;80;11,7;783;4;1280;2,8;4205;3;6975;11,8;17093;2,2;139107;2,9;DQ2035939;;
2017002;VENDREDI;06/01/2017;4;08/03/2017;21;14;49;10;18;9;11;-10-14-18-21-49-;-9-11-;0;0;0;0;5;215540,4;4;9;27889,8;8;20;6138,8;172;754;173,6;272;1405;130,1;505;1789;57,9;4499;21100;22,6;8617;35407;14,2;21539;86431;11;23362;111273;12,1;116052;504296;8;295468;1225401;4;0;0;3;1910,2;42;30,9;64;20,2;1097;4;2076;2,4;5491;3,2;8638;13,2;26666;1,9;201966;2,7;UE3065464;;
2017003;MARDI   ;10/01/2017;5;12/03/2017;44;29;35;11;2;4;9;-2-11-29-35-44-;-4-9-;0;0;0;2;3;280821,3;1;5;39243,8;11;50;1919,5;199;750;136,5;341;1621;88,1;436;1515;53,4;4709;24029;15,5;5906;27375;14,4;13728;62277;11,9;25574;128094;8,2;82696;396092;7,9;182092;869294;4,4;1;3850,8;1;459,8;42;23,2;79;12,3;1141;2,9;1353;2,8;6157;2,1;10477;8,2;19882;1,9;171210;2,4;BS8351643;;
2017004;VENDREDI;13/01/2017;6;15/03/2017;16;7;50;3;26;4;7;-3-7-16-26-50-;-4-7-;0;0;0;4;8;175314,5;3;9;36295,7;21;62;2577,1;376;1379;123,5;986;3228;73,6;686;2466;54,7;14554;46858;13,2;17084;57280;11,4;30044;109202;11,3;73840;238914;7,3;231459;778041;6,7;425533;1517238;4,2;1;7186,5;6;143;74;24,6;211;8,6;2972;2;3504;2;15094;1,6;21389;7,5;46731;1,5;333410;2,3;RR0558000;;
2017005;MARDI   ;17/01/2017;7;19/03/2017;43;4;25;16;47;10;2;-4-16-25-43-47-;-2-10-;0;0;0;2;4;239148,7;1;8;27850,2;12;29;3757,9;144;630;184,5;258;1319;123;266;1374;66,9;4183;19340;21,9;5379;26865;16,6;12863;65156;13;23351;105357;11,3;81902;401661;8,9;193039;950064;4,6;0;0;3;1610,3;32;34,2;60;18,2;968;3,8;1179;3,6;5745;2,6;10211;9,4;18896;2,3;189357;2,5;HB4378096;;
2017006;VENDREDI;20/01/2017;8;22/03/2017;17;10;27;49;31;3;5;-10-17-27-31-49-;-3-5-;0;0;0;0;3;447519;6;16;19543,5;25;96;1593,2;302;1235;132,1;783;3601;63,2;526;2278;56,6;10525;47153;12,6;11762;53184;11,8;23664;102166;11,6;51321;236179;7,1;161842;736643;6,8;320085;1411722;4,3;0;0;2;3540,3;71;22,6;185;8,6;2344;2,3;2792;2,2;11627;1,8;17784;7,9;37250;1,7;286571;2,4;NX8920712;;
2017007;MARDI   ;24/01/2017;1;26/03/2017;5;1;23;17;7;3;8;-1-5-7-17-23-;-3-8-;0;1;88587275;3;11;96333,8;9;25;9872,3;22;103;1172;344;1624;79,2;711;3273;54,9;970;3792;26,8;8022;38294;12,2;13475;58023;8,5;29352;121326;7,7;34065;171338;7,7;144924;659707;6;299049;1345199;3,6;1;5317,5;9;70,5;112;12;199;6,7;2108;2,1;3810;1,3;8874;2;12545;9,4;39490;1,3;220713;2,6;BO0843581;;
2017008;VENDREDI;27/01/2017;2;29/03/2017;28;45;20;17;48;9;5;-17-20-28-45-48-;-5-9-;0;0;0;1;2;538931,3;6;10;25104,6;13;52;2361,4;170;741;176,7;475;2215;82,5;355;1466;70,7;6625;32734;14,5;7998;36192;13,9;16395;70246;13,5;35681;177760;7,5;116047;529133;7,6;237518;1036365;4,8;1;5634,9;4;168,2;34;42;95;15;1559;3,1;1945;2,8;8729;2,2;15423;8,1;29048;1,9;265604;2,3;BQ1742617;;
2017009;MARDI   ;31/01/2017;1;02/04/2017;4;17;44;23;3;6;9;-3-4-17-23-44-;-6-9-;0;1;25880509;1;3;270663,6;1;3;63040,6;12;46;2010,9;132;724;136,2;348;1808;76,1;308;1714;45,5;4827;24548;14,6;6672;33053;11,5;14648;73036;9,8;23369;119818;8,4;92836;449761;6,7;199477;975867;3,8;0;0;1;4483,8;30;33,8;106;9,5;1292;2,6;1819;2,2;6328;2,2;9596;9,3;25213;1,6;174349;2,5;RH3326531;;
2017010;VENDREDI;03/02/2017;2;05/04/2017;3;4;50;46;15;9;5;-3-4-15-46-50-;-5-9-;0;0;0;0;3;369790,5;2;5;51677;8;30;4212,8;120;700;192,5;344;1892;99,4;268;1369;77,9;6031;32498;15,1;6259;33285;15,6;13109;67286;14,6;35664;182855;7,6;106849;542868;7,6;221011;1075437;4,7;0;0;3;1978,8;21;64;72;18,6;1442;3,1;1490;3,5;8757;2,1;14768;8;25798;2;254443;2,2;SB0859963;;
2017011;MARDI   ;07/02/2017;3;09/04/2017;44;38;4;31;10;10;8;-4-10-31-38-44-;-8-10-;0;0;0;0;0;0;1;3;319734,2;6;24;3693;129;599;157,8;307;1266;104,2;252;1175;63,6;3807;16383;21;5397;26590;13,7;11557;56225;12,2;16802;80874;12;72884;350916;8,3;172565;812462;4,4;0;0;1;4338,5;39;25,2;94;10,4;978;3,4;1341;2,8;4389;3;6532;13,2;18803;2,1;153884;2,7;VZ9294413;;
2017012;VENDREDI;10/02/2017;4;12/04/2017;43;26;7;35;21;9;2;-7-21-26-35-43-;-2-9-;0;0;0;2;4;280518,3;1;6;43557,2;11;62;2061,7;220;990;137,7;447;2202;86,4;428;2066;52,2;6722;30549;16,2;8587;42233;12,4;17363;86623;11,4;36730;159849;8,7;121072;565625;7,4;244584;1158318;4,4;0;0;1;5975,4;49;27,6;123;11;1651;2,7;1991;2,6;9019;2;15707;7,6;28844;1,8;257542;2,2;UB9775858;;
2017013;MARDI   ;14/02/2017;1;16/04/2017;44;40;24;2;10;3;10;-2-10-24-40-44-;-3-10-;0;2;23570709;1;1;855914,6;1;6;33225,3;5;27;3611,4;119;585;177,7;280;1352;107,3;283;1322;62,2;4233;18710;20,2;5930;26447;15,1;13435;61439;12,3;22861;96739;11;88827;392902;8,1;207275;912910;4,3;0;0;2;2316,5;32;32,8;67;15,6;974;3,6;1411;2,9;5495;2,6;8609;10,7;21187;1,9;171495;2,6;KP2011472;;
2017014;VENDREDI;17/02/2017;1;19/04/2017;25;19;33;36;48;2;9;-19-25-33-36-48-;-2-9-;0;1;17000000;1;3;347002,9;0;8;30307,8;6;33;3593,8;161;711;177,9;313;1590;111;295;1502;66,6;5380;25531;18;6395;31155;15,6;13661;66061;13,9;32324;144487;9;97489;471329;8,3;202576;986394;4,8;1;4759,5;2;284,1;46;26,2;69;17,5;1266;3,2;1454;3,2;7852;2,1;15417;6,9;22188;2,1;242728;2,1;UZ1001410;;
