annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;boule_6;boule_complementaire;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;numero_jokerplus;devise;
2002003;VE;20021122;20030121;5;20;28;8;49;29;11;5-8-20-28-29-49;3;8333334;21;52516,9;707;3786,4;2545;194,6;39199;97,3;71120;13;690599;6,5;;eur;
2002002;VE;20020920;20021119;38;2;12;16;6;48;10;2-6-12-16-38-48;0;0;6;79436,3;310;3779,8;1027;200;16793;100;29440;12,8;312478;6,4;;eur;
2002001;VE;20020913;20021112;38;2;24;11;28;35;26;2-11-24-28-35-38;0;0;6;132997;463;4336,6;1212;216,6;27447;108,3;38133;13,8;517658;6,9;;eur;
2001004;VE;20010713;20010911;14;29;45;23;9;25;8;9-14-23-25-29-45;1;15008738,38;6;108796;353;4613,11;21863;108,54;1157;217,09;32331;13,72;421171;6,86;;frf;
2001003;VE;20010615;20010814;31;3;18;48;36;43;20;3-18-31-36-43-48;7;22950110;19;243065;624;17915;1055;1412;23267;706;26256;102;389061;51;;frf;
2001002;VE;20010518;20010717;43;9;12;45;28;8;34;8-9-12-28-43-45;1;100048980;4;922480;395;23660;850;1324;20989;662;24186;86;391029;43;;frf;
2001001;VE;20010413;20010612;34;44;10;12;14;42;46;10-12-14-34-42-44;0;0;11;422535;465;24335;1041;1602;20656;801;27677;100;408098;50;;frf;
2000003;VE;20001013;20001212;9;24;45;31;13;43;3;9-13-24-31-43-45;4;25016485;17;293980;661;18365;1786;1114;31352;557;47305;78;526232;39;;frf;
2000002;DI;20000528;20000727;6;19;46;8;47;14;43;6-8-14-19-46-47;2;50019215;10;313085;288;26330;578;1396;16333;698;17211;92;300868;46;;frf;
2000001;LU;20000214;20000414;40;1;23;46;42;6;8;1-6-23-40-42-46;5;20007380;4;730355;336;21780;693;1514;14144;757;20118;100;256363;50;;frf;
1999002;VE;19991231;20000229;1;49;15;6;28;11;23;1-6-11-15-28-49;2;50047950;29;153185;764;13950;2036;898;33762;449;45583;70;526068;35;;frf;
1999001;DI;19990214;19990415;10;45;39;11;1;2;9;1-2-10-11-39-45;0;0;17;5885605;381;25935;1816;1258;21651;629;48287;84;382579;42;;frf;
1998003;VE;19981113;19990112;24;38;43;35;5;15;46;5-15-24-35-38-43;1;100024920;6;905865;457;30005;1259;1580;25447;790;34428;102;482500;51;;frf;
1998002;VE;19981002;19981201;22;45;19;10;11;28;3;10-11-19-22-28-45;1;100022040;5;686035;306;28425;0;0;19268;612;0;0;354974;42;;frf;
1998001;VE;19980313;19980512;41;44;27;39;40;42;25;27-39-40-41-42-44;1;100080720;15;352020;424;30715;0;0;20376;867;0;0;319712;71;;frf;
1997002;JE;19970320;19970520;45;11;15;5;22;9;8;5-9-11-15-22-45;1;150077770;20;257075;860;14795;0;0;42189;405;0;0;642944;34;;frf;
1997001;JE;19970213;19970414;17;38;2;11;1;28;23;1-2-11-17-28-38;0;0;6;794775;349;34810;0;0;21628;763;0;0;452936;46;;frf;
1996001;ME;19960515;19960715;5;28;47;20;49;2;18;2-5-20-28-47-49;2;50480970;17;367740;524;29455;0;0;30355;689;0;0;553701;48;;frf;
