annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_en_france;nombre_de_gagnant_au_rang1_en_europe;rapport_du_rang1;nombre_de_gagnant_au_rang2_en_france;nombre_de_gagnant_au_rang2_en_europe;rapport_du_rang2;nombre_de_gagnant_au_rang3_en_france;nombre_de_gagnant_au_rang3_en_europe;rapport_du_rang3;nombre_de_gagnant_au_rang4_en_france;nombre_de_gagnant_au_rang4_en_europe;rapport_du_rang4;nombre_de_gagnant_au_rang5_en_france;nombre_de_gagnant_au_rang5_en_europe;rapport_du_rang5;nombre_de_gagnant_au_rang6_en_france;nombre_de_gagnant_au_rang6_en_europe;rapport_du_rang6;nombre_de_gagnant_au_rang7_en_france;nombre_de_gagnant_au_rang7_en_europe;rapport_du_rang7;nombre_de_gagnant_au_rang8_en_france;nombre_de_gagnant_au_rang8_en_europe;rapport_du_rang8;nombre_de_gagnant_au_rang9_en_france;nombre_de_gagnant_au_rang9_en_europe;rapport_du_rang9;nombre_de_gagnant_au_rang10_en_france;nombre_de_gagnant_au_rang10_en_europe;rapport_du_rang10;nombre_de_gagnant_au_rang11_en_france;nombre_de_gagnant_au_rang11_en_europe;rapport_du_rang11;nombre_de_gagnant_au_rang12_en_france;nombre_de_gagnant_au_rang12_en_europe;rapport_du_rang12;nombre_de_gagnant_au_rang13_en_france;nombre_de_gagnant_au_rang13_en_europe;rapport_du_rang13;numero_My_Million;devise;
2016066;MARDI   ;16/08/2016;16/10/2016;34;37;46;26;2;4;8;-2-26-34-37-46-;-4-8-;0;0;0;0;2;472441,7;2;4;78740,2;1;28;5624,3;69;494;278,9;190;1055;130,6;247;1537;64;3903;23246;19,4;3792;24369;17,7;7745;47846;15,2;23652;134632;9,5;61906;375941;9,2;121357;740356;4,7;RA7984149;eur;
2016065;VENDREDI;12/08/2016;12/10/2016;15;50;36;2;28;11;2;-2-15-28-36-50-;-2-11-;0;0;0;1;3;452022,3;4;12;37668,5;11;53;4264,3;163;928;213,1;325;1868;105,8;372;2075;68;4677;28070;23,1;6556;38950;15,9;13197;79765;13,1;24171;143935;12,7;97017;568992;8,7;204033;1188221;4,2;UO0811921;eur;
2016064;MARDI   ;09/08/2016;09/10/2016;19;43;44;12;45;10;5;-12-19-43-44-45-;-5-10-;0;0;0;0;5;190658,9;0;5;63552,9;1;28;5674,3;110;570;243,8;217;1104;125,9;224;1391;71,3;3435;21497;21,2;4685;27212;16;10174;55256;13,2;18852;119674;10,7;72411;416632;8,3;154892;837701;4,2;GN5538568;eur;
2016063;VENDREDI;05/08/2016;05/10/2016;19;16;24;37;35;2;7;-16-19-24-35-37-;-2-7-;0;0;0;0;3;436957,5;1;9;48550,8;14;59;3703;153;867;220,4;241;1571;121,6;583;2800;48,7;8195;40241;15,6;7329;40745;14,7;12642;74921;13,4;46388;221908;7,9;110157;609472;7,8;188240;1106375;4,4;EB9175825;eur;
2016062;MARDI   ;02/08/2016;02/10/2016;27;46;38;2;8;2;6;-2-8-27-38-46-;-2-6-;0;0;0;1;3;296716,8;2;5;59343,3;4;32;4636,2;145;705;184,1;207;1229;105,6;393;1912;48,4;5124;25896;16,4;5594;28925;14,1;9469;53240;12,8;26059;136918;8,8;77330;408629;7,9;138979;778310;4,2;KL0121199;eur;
2016061;VENDREDI;29/07/2016;28/09/2016;40;26;50;1;21;4;2;-1-21-26-40-50-;-2-4-;0;1;72413419;0;2;798845,4;1;10;53256,3;12;61;4365,2;166;1086;214,5;351;2460;94,7;381;2492;66,7;6120;36448;21;7214;45921;15,9;14705;96787;12,7;35114;202705;10,6;114641;687264;8,5;225633;1408157;4,2;OE8837000;eur;
2016060;MARDI   ;26/07/2016;25/09/2016;13;49;10;45;3;11;2;-3-10-13-45-49-;-2-11-;0;0;0;0;2;536905,5;1;3;119312,3;6;40;4474,2;136;731;214,2;291;1607;97,4;273;1536;72,8;3819;22316;23;5684;32020;15,3;14208;74485;11,1;20160;116448;12,4;83517;476923;8,2;197823;1077540;3,7;MI0306577;eur;
2016059;VENDREDI;22/07/2016;21/09/2016;26;45;24;7;37;9;5;-7-24-26-37-45-;-5-9-;0;0;0;3;7;198566,6;1;12;38610,1;9;70;3309,4;207;1080;187,6;347;1845;109,8;503;2969;48,7;7251;43443;15,3;8057;45488;14;15092;82217;13;39766;234234;8;120336;675188;7,5;226018;1214847;4,2;AH5578643;eur;
2016058;MARDI   ;19/07/2016;18/09/2016;24;37;19;28;36;6;3;-19-24-28-36-37-;-3-6-;0;0;0;0;1;966688,5;0;2;161114,7;9;37;4354,4;96;624;225,9;203;1175;119,9;382;1864;54;5576;27600;16,7;5394;30782;14,3;10204;58469;12,7;28569;145933;8,9;78608;447065;7,9;146319;842113;4,3;AP3543257;eur;
2016057;VENDREDI;15/07/2016;14/09/2016;2;11;14;13;21;1;8;-2-11-13-14-21-;-1-8-;0;0;0;0;10;133037,2;5;18;24636,5;16;83;2671,4;281;1372;141,4;557;2825;68,6;548;2753;50,3;7000;36350;17,5;10967;55624;10,9;22989;114885;8,9;32141;171840;10,4;132158;701192;6,9;272636;1458141;3,4;GQ4615499;eur;
2016056;MARDI   ;12/07/2016;11/09/2016;26;3;41;33;7;2;10;-3-7-26-33-41-;-2-10-;0;0;0;0;3;314888,5;2;8;39361;9;42;3748,6;111;630;218,6;244;1460;94,3;273;1471;66,8;3817;20377;22,2;4990;29171;14,8;11785;68552;10,6;20284;106761;11,9;73525;416470;8,3;170896;956974;3,7;AX7514288;eur;
2016055;VENDREDI;08/07/2016;07/09/2016;12;18;8;44;33;8;4;-8-12-18-33-44-;-4-8-;0;0;0;2;7;186973,8;1;9;48474,6;28;80;2726,7;270;1321;144,4;490;2252;84,7;826;3693;36,9;9652;45744;13,7;10416;49957;12;19238;92889;10,8;41969;206879;8,5;134065;663655;7,2;253684;1260603;3,8;UW8928561;eur;
2016054;MARDI   ;05/07/2016;04/09/2016;38;29;10;48;1;4;3;-1-10-29-38-48-;-3-4-;0;0;0;0;2;446081;0;4;74346,8;8;37;4018,7;109;565;230,2;221;1124;115,7;192;1182;78,6;3352;18771;22,7;5011;25884;15,7;9934;51524;13,3;18596;104997;11,5;77315;394597;8,2;146543;770402;4,3;DF5346701;eur;
2016053;VENDREDI;01/07/2016;31/08/2016;11;50;13;40;2;10;1;-2-11-13-40-50-;-1-10-;0;1;23845060;1;3;442252,9;0;8;55281,6;6;49;4512,7;141;785;246,4;345;1950;99,2;266;1705;81;4655;25899;24,5;6854;37370;16,2;16757;87491;11,6;23926;130711;13,7;104117;555254;8,7;253987;1315084;3,7;IH4989325;eur;
2016052;MARDI   ;28/06/2016;28/08/2016;43;37;32;26;49;5;4;-26-32-37-43-49-;-4-5-;0;0;0;1;8;110915,9;0;4;73943,9;10;22;6722,1;108;654;197,8;226;1195;108,2;205;1206;76,6;2970;17853;23,8;3922;24421;16,6;7975;47233;14,4;18101;102983;11,6;61041;365099;8,9;117033;677669;4,9;IB5770237;eur;
2016051;VENDREDI;24/06/2016;24/08/2016;11;19;39;28;27;3;10;-11-19-27-28-39-;-3-10-;1;1;39675953;0;4;348865,2;3;9;51683,7;12;57;4080,2;274;1259;161,6;558;2798;72,7;524;2479;58,6;6554;34015;19,6;9997;51738;12,3;22063;112550;9,5;30447;166438;11,3;127025;676508;7,5;283753;1465740;3,5;NQ5958142;eur;
2016050;MARDI   ;21/06/2016;21/08/2016;32;35;17;49;5;5;1;-5-17-32-35-49-;-1-5-;0;0;0;0;2;483196,4;1;9;35792,3;4;49;3287;125;767;183,7;218;1397;100,8;285;1656;60,7;4420;24775;18,6;5102;31392;14,1;10151;58204;12,7;24105;129583;10;79343;456867;7,7;147209;832650;4,3;BY8798563;eur;
2016049;VENDREDI;17/06/2016;17/08/2016;43;1;18;27;7;8;4;-1-7-18-27-43-;-4-8-;0;0;0;0;3;446513;3;11;40592;12;76;2937,5;283;1261;154,9;658;2677;72,9;618;3037;45,9;8802;41215;15,5;10590;49895;12,3;22776;104564;9,8;42188;203885;8,8;137114;656067;7,4;288319;1362394;3,6;DB8830945;eur;
2016048;MARDI   ;14/06/2016;14/08/2016;13;50;42;39;34;11;9;-13-34-39-42-50-;-9-11-;0;0;0;0;1;929476,8;1;5;61965,1;3;29;5341,8;104;529;256,2;185;1078;125,7;191;1328;72,9;3166;19382;22,9;4588;26356;16,1;9957;54820;13;16569;99310;12,6;66164;379126;8,9;146307;802799;4,3;OM3274174;eur;
2016047;VENDREDI;10/06/2016;10/08/2016;21;35;42;14;43;7;9;-14-21-35-42-43-;-7-9-;0;1;85076371;1;3;601952,3;3;7;85993,1;30;152;1980,1;460;2065;127,5;644;2894;91;887;3607;52,1;11621;47941;18;13948;60870;13,5;24540;106247;13,1;66943;263910;9,2;192865;822435;8;345722;1480448;4,5;JE8315832,AJ1179744,EQ9110931,GO9369660,NU4395868,HG5181382,OH9288562,JM8056487,UT9941562,JU8458724,DI2442762,VS8780237;eur;
2016046;MARDI   ;07/06/2016;07/08/2016;26;49;19;45;35;2;5;-19-26-35-45-49-;-2-5-;0;0;0;0;1;1255017,8;0;4;104584,8;12;54;3873,5;133;755;242,4;332;1437;127,3;478;2321;56,3;7323;34991;17,1;7599;36408;15,7;14579;68217;14,1;42103;200771;8,4;116490;561022;8,2;217954;1018814;4,6;SX9693112,UQ8420444,SI6976752,EE0633882,IX5780028,GZ5943574,JB5821805,RB1242172,DC0851652,QW0660395,VG2847010,FP8821072;eur;
2016045;VENDREDI;03/06/2016;03/08/2016;7;31;39;23;33;6;10;-7-23-31-33-39-;-6-10-;0;0;0;1;6;260823;2;15;34776,4;13;70;3726;200;1248;182,8;408;3002;76;391;2440;66,8;5792;34219;21,9;8633;48370;14,8;20197;115612;10,4;29444;172915;12,2;122562;675793;8,4;286195;1589903;3,6;DL0503341;eur;
2016044;MARDI   ;31/05/2016;31/07/2016;6;30;26;48;12;6;7;-6-12-26-30-48-;-6-7-;0;0;0;2;12;90160,6;1;9;40071,4;9;52;3467,7;229;1006;156,8;341;1765;89,3;401;2149;52,4;5398;28482;18,2;8466;41960;11,8;13116;70092;11,8;25280;139128;10,5;108543;551311;7,1;171166;952524;4,2;FH5356658;eur;
2016043;VENDREDI;27/05/2016;27/07/2016;46;27;13;43;25;4;8;-13-25-27-43-46-;-4-8-;0;0;0;1;8;185870,9;3;15;33043,7;15;70;3540,3;209;1038;208,9;428;2121;102,2;497;2851;54,3;7797;42546;16,7;8781;47605;14,3;17635;97634;11,7;42346;223210;9;122905;682322;7,9;249238;1385056;4;AA5124157;eur;
2016042;MARDI   ;24/05/2016;24/07/2016;37;17;34;16;23;9;6;-16-17-23-34-37-;-6-9-;0;0;0;1;5;199577,7;1;5;66525,9;4;53;3138;130;734;198,2;268;1432;101,6;326;1925;53,9;4509;27494;17,3;5574;32595;14;10921;64024;12;23683;139929;9,6;79603;465310;7,8;157596;924835;4;KO6484641;eur;
2016041;VENDREDI;20/05/2016;20/07/2016;41;9;30;14;45;4;9;-9-14-30-41-45-;-4-9-;0;0;0;0;0;0;0;2;923685,2;11;60;3848,6;145;844;239,4;303;1641;123,1;535;2677;53,9;8263;41450;16;7566;39944;15,8;13857;76130;14;42099;217358;8,6;118210;612954;8,2;219993;1177185;4,4;NK3931346;eur;
2016040;MARDI   ;17/05/2016;17/07/2016;32;27;39;36;15;3;10;-15-27-32-36-39-;-3-10-;0;0;0;1;3;311110;1;6;51851,6;3;34;4575,1;98;546;249,2;186;1235;110,2;233;1284;75,7;3287;19066;23,4;4037;26089;16,3;8875;56541;12,7;18285;102016;12,3;62509;384775;8,8;136849;824629;4,2;MQ6102462;eur;
2016039;VENDREDI;13/05/2016;13/07/2016;31;28;42;15;7;10;11;-7-15-28-31-42-;-10-11-;0;0;0;1;6;258521,8;7;20;25852,1;15;64;4039,4;316;1156;195,6;957;3419;66,1;466;2042;79,1;6811;29431;25,2;11476;43727;16,2;34360;128707;9,2;35897;157728;13,3;152773;592167;9,6;439219;1682415;3,4;JK3884979;eur;
2016038;MARDI   ;10/05/2016;10/07/2016;40;2;26;27;49;10;5;-2-26-27-40-49-;-5-10-;0;1;73002277;1;1;1219013,1;1;6;67722,9;5;41;4955,3;90;637;279;199;1368;129,9;233;1765;71,9;4068;27613;21,1;5173;32530;17,1;11232;66142;14,2;23240;150844;10,9;83576;512239;8,7;179723;1042147;4,3;DQ0509320;eur;
2016037;VENDREDI;06/05/2016;06/07/2016;45;48;40;34;32;10;1;-32-34-40-45-48-;-1-10-;0;0;0;0;4;381862,6;1;10;50915;2;41;6209,1;118;827;269,3;235;1664;133,8;266;1683;94,5;4064;26001;28,1;5523;35124;19,9;12635;78567;14,9;22618;142403;14,5;83769;530426;10,5;196842;1222213;4,6;DQ6802242;eur;
2016036;MARDI   ;03/05/2016;03/07/2016;23;34;8;24;38;3;7;-8-23-24-34-38-;-3-7-;0;0;0;0;1;1073862,1;3;7;51136,2;3;71;2520,8;137;838;186,8;228;1493;104,8;510;2900;38,5;8117;42604;12;6577;36484;13,4;11237;67095;12,3;43344;222486;6,5;99475;525897;7,4;170390;964243;4,1;QD0997967;eur;
2016035;VENDREDI;29/04/2016;29/06/2016;4;25;28;5;43;6;11;-4-5-25-28-43-;-6-11-;0;0;0;2;8;191461,3;2;7;72937,6;6;47;5431,5;166;917;243,5;414;2149;103,9;352;2009;79,4;5346;30776;23,8;7805;43451;16,1;19455;102486;11,5;27709;161195;12,8;118723;660939;8,4;294071;1553921;3,6;GD8863612;eur;
2016034;MARDI   ;26/04/2016;26/06/2016;10;42;17;32;31;2;5;-10-17-31-32-42-;-2-5-;0;0;0;1;4;252183,2;0;3;112081,4;8;31;5423,2;91;662;222,2;170;1139;129,1;342;2043;51,4;5282;30605;15,7;5327;31854;14,5;9840;57617;13,4;29402;165985;8,2;82831;483456;7,6;152100;862971;4,3;JE0924921;eur;
2016033;VENDREDI;22/04/2016;22/06/2016;32;43;26;34;17;2;10;-17-26-32-34-43-;-2-10-;0;0;0;0;4;346125;0;5;92300;6;46;5016,3;180;899;224,5;412;2114;95,5;382;2005;71,9;5241;27657;23,9;7008;38836;16,3;15816;87857;12,1;27733;147238;12,7;96786;549160;9,2;218679;1230855;4,2;CO7883296;eur;
2016032;MARDI   ;19/04/2016;19/06/2016;27;14;44;15;11;7;2;-11-14-15-27-44-;-2-7-;0;0;0;1;1;955091,4;2;5;63672,7;15;59;2697,9;137;796;174,9;263;1486;93,7;631;2789;35,6;8106;37022;12,3;7365;37602;11,6;12265;66465;11;37570;174853;7,3;100004;517349;6,7;169679;921075;3,8;TZ3258359;eur;
2016031;VENDREDI;15/04/2016;15/06/2016;13;32;37;14;48;1;7;-13-14-32-37-48-;-1-7-;0;0;0;0;1;1340631,9;0;5;89375,4;9;44;5078,1;123;732;267;214;1464;133,5;423;2091;66,7;7014;33093;19,4;6598;37564;16,3;12257;72605;14,2;42089;187673;9,6;111333;593179;8,2;200998;1127415;4,4;UC0092745;eur;
2016030;MARDI   ;12/04/2016;12/06/2016;9;1;5;22;38;10;2;-1-5-9-22-38-;-2-10-;0;1;65001096;2;4;290662,7;3;12;32295,8;11;37;5237,1;193;1001;169,3;461;2324;72,9;371;1894;63,9;5146;25589;21,7;7840;40798;13;18958;95663;9,3;24950;130635;12;98468;531598;8;230306;1212998;3,5;AR0990341;eur;
2016029;VENDREDI;08/04/2016;08/06/2016;43;8;49;6;26;10;6;-6-8-26-43-49-;-6-10-;0;0;0;0;2;777680,2;0;7;74064,7;14;51;5082,8;162;904;250,9;332;1814;125;374;2131;76;5735;32132;23,1;8249;42751;16,6;17010;89288;13,4;29412;169589;12,4;123089;640864;8,8;270321;1396081;4,1;FD8542317;eur;
2016028;MARDI   ;05/04/2016;05/06/2016;3;19;40;9;5;5;2;-3-5-9-19-40-;-2-5-;0;0;0;2;4;265011,4;3;10;35334,8;19;79;2236,3;283;1333;115,9;406;1992;77,6;576;3146;35;7674;39168;12,9;10168;50357;9,6;16953;82508;9,9;33906;183397;7,8;117933;607490;6,3;207759;1043040;3,8;OV4824475;eur;
2016027;VENDREDI;01/04/2016;01/06/2016;23;25;2;49;16;6;9;-2-16-23-25-49-;-6-9-;0;0;0;2;5;289093,3;1;3;160607,3;14;62;3885,6;197;995;211,8;400;1953;107,9;471;2451;61,4;7217;38388;18;8981;45694;14,4;17678;89976;12,3;38427;205481;9,5;129825;664310;7,9;257102;1312419;4,1;RC9081509;eur;
2016026;MARDI   ;29/03/2016;29/05/2016;4;25;19;36;1;3;11;-1-4-19-25-36-;-3-11-;0;0;0;0;3;308454,7;2;6;51409,1;5;24;6426,1;108;638;211,5;252;1484;90,9;216;1217;79,2;3149;17557;25,2;5324;29014;14,6;11996;63505;11,2;16865;93192;13,4;75109;417570;8,1;171606;898416;3,8;BH2688488;eur;
2016025;VENDREDI;25/03/2016;25/05/2016;43;36;12;42;19;8;5;-12-19-36-42-43-;-5-8-;0;0;0;0;3;450425,3;1;6;75070,8;8;65;3464,8;187;941;209,4;325;1658;118,8;514;2892;48,6;8788;45365;14,2;7859;40899;15,1;15214;76237;13,6;46573;240487;7,6;118417;612183;8;230144;1127804;4,4;QL4503469;eur;
2016024;MARDI   ;22/03/2016;22/05/2016;15;49;12;26;42;5;8;-12-15-26-42-49-;-5-8-;0;0;0;0;1;927462;3;8;38644,2;7;40;3864,4;125;644;210;211;1200;112,7;394;2152;44,8;5894;32483;13,6;5498;29725;14,3;10772;54468;13,1;30962;171245;7,3;83437;441393;7,7;159445;798353;4,3;KW6052730;eur;
2016023;VENDREDI;18/03/2016;18/05/2016;14;49;21;19;24;5;11;-14-19-21-24-49-;-5-11-;0;1;59687034;1;4;388021,8;1;10;51736,2;14;62;4172,2;210;1048;215,9;478;2249;100,6;382;2320;69,6;5627;34009;21,8;9418;50124;14,1;21225;103830;11,5;30000;179955;11,6;135294;723314;7,8;303016;1495041;3,8;LS2876887;eur;
2016022;MARDI   ;15/03/2016;15/05/2016;7;10;5;44;34;10;2;-5-7-10-34-44-;-2-10-;0;0;0;0;2;538801,5;1;9;39911,2;11;34;5282,3;127;688;228,4;289;1517;103,5;401;1699;66;5814;24726;20,8;7339;35211;14;15580;76272;10,8;26368;123793;11,7;105617;511992;7,7;225965;1119057;3,6;LU5486035;eur;
2016021;VENDREDI;11/03/2016;11/05/2016;26;43;1;21;40;9;6;-1-21-26-40-43-;-6-9-;0;0;0;2;3;503809,5;1;5;100761,9;7;38;6629;145;817;269,7;274;1609;136,9;428;2242;70,2;6864;36063;20;7523;40264;17,2;14915;79039;14,7;40301;205443;9,9;124631;632914;8,7;245190;1253417;4,5;KF7439918;eur;
2016020;MARDI   ;08/03/2016;08/05/2016;9;14;23;8;1;7;1;-1-8-9-14-23-;-1-7-;0;0;0;2;7;149414,4;3;6;58105,6;16;62;2811,5;362;1281;119;524;2095;72,8;753;2720;40;8959;33855;14,8;12100;48841;9,8;19399;82845;9,7;37793;153832;9,2;134035;577174;6,6;231128;1060179;3,6;VY7735395;eur;
2016019;VENDREDI;04/03/2016;04/05/2016;9;23;40;16;14;1;5;-9-14-16-23-40-;-1-5-;0;0;0;2;4;379008,8;2;3;168448,3;21;70;3609,6;279;1232;179,4;562;2373;93,1;733;2921;54;9634;40373;17,9;12627;54065;12,8;25155;102561;11,3;48818;205617;9,9;175056;748522;7,4;346417;1424929;3,9;NM7936544,AR5855166,FU1253757,GD4576906,UB8534811;eur;
2016018;MARDI   ;01/03/2016;01/05/2016;37;7;28;13;4;11;10;-4-7-13-28-37-;-10-11-;0;0;0;2;4;252849,7;3;9;37459,2;12;38;4435,9;249;922;159,9;737;2801;52,6;324;1533;68,7;4631;21383;22,6;8116;32322;14,3;25123;100943;7,7;22347;106733;12,8;99370;417649;8,8;296074;1228114;3;NX2388310,DD4108857,CL8815008,RA9340923,MZ8211941;eur;
2016017;VENDREDI;26/02/2016;27/04/2016;13;50;5;33;15;9;11;-5-13-15-33-50-;-9-11-;0;1;15000000;1;4;364156,3;3;18;26974,5;12;46;5277,6;219;1333;159,3;480;3044;69,7;387;2452;61,8;5171;31898;21,8;9270;51988;12,8;21202;115878;9,6;24708;156133;12,6;122307;682446;7,8;288598;1536951;3,5;RN4071733;eur;
2016016;MARDI   ;23/02/2016;24/04/2016;42;32;23;25;37;11;1;-23-25-32-37-42-;-1-11-;0;1;31340088;0;1;1026062,9;1;6;57003,4;8;35;4886;94;522;286,6;276;1432;104,4;229;1355;78,8;3962;21800;22,5;4090;24956;18,8;10733;63850;12,3;21871;117666;11,8;66533;385033;9,7;169906;960766;4;NV2224822;eur;
2016015;VENDREDI;19/02/2016;20/04/2016;32;13;14;39;30;3;9;-13-14-30-32-39-;-3-9-;0;0;0;0;1;1424950,2;1;5;94996,6;7;60;3958,1;157;857;242,4;298;1631;127,4;560;2870;51,7;8921;45880;14,8;7682;43364;15;15103;82805;13,2;50164;246637;7,8;126735;678742;7,6;237763;1265283;4,2;FN0767739;eur;
2016014;MARDI   ;16/02/2016;17/04/2016;3;22;50;10;37;6;10;-3-10-22-37-50-;-6-10-;0;0;0;0;3;323686,1;1;8;40460,7;10;39;4149,8;123;652;217,1;273;1468;96,4;241;1385;73;3689;20540;22,6;5410;29172;15,2;11942;63836;11,7;19075;106888;12,3;81463;424632;8,3;181365;952864;3,8;NI8828496;eur;
2016013;VENDREDI;12/02/2016;13/04/2016;31;49;28;20;3;5;2;-3-20-28-31-49-;-2-5-;0;1;32002496;1;2;760400,4;3;15;33795,5;10;69;3673,4;197;1072;206,8;397;1895;117;638;2937;53,9;8809;44355;16,4;9829;48456;14,3;18809;87810;13,3;49117;246653;8,3;145071;719586;7,7;269438;1302875;4,3;SJ7862380;eur;
