annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numero_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_My_Million;numero_Tirage_Exceptionnel_Euro_Million;
2019091;MARDI   ;12/11/2019;10;12/01/2020;1;25;21;39;23;2;4;-1-21-23-25-39-;-2-4-;0;0;0;1;5;217342,7;0;10;25310,8;9;46;2691,3;113;731;180,6;323;1662;110,9;279;1632;64;4609;25801;18,6;6397;35754;14,2;13287;77073;12,4;25429;138750;9,8;97083;536172;7,6;200910;1151681;4,3;0;0;2;2793,2;39;32,4;86;14,7;1328;3,2;1753;2,8;7072;2,4;11232;9,9;27020;1,8;227852;2,4;KE 905 5008;;
2019090;VENDREDI;08/11/2019;9;08/01/2020;20;8;45;23;17;2;8;-8-17-20-23-45-;-2-8-;0;0;0;0;4;376337,4;2;8;43826,6;19;107;1602,7;287;1409;129,8;811;4226;60,4;517;2770;52,2;10725;54626;12,2;11566;62226;11,3;22464;123423;10,8;47400;251743;7,4;147882;805780;7;300973;1672150;4,1;0;0;4;1831,7;73;22,7;243;6,8;2995;1,8;3059;2,1;12693;1,7;18018;8,1;38740;1,7;276203;2,5;HM 152 5526;;
2019089;MARDI   ;05/11/2019;8;05/01/2020;25;14;33;9;48;12;2;-9-14-25-33-48-;-2-12-;0;0;0;1;3;332383,3;0;8;29030,9;2;27;4207,3;119;689;175,8;206;1158;146;302;1736;55,2;3034;17043;25,9;5428;29423;15,8;14252;76286;11,5;16702;90783;13,7;79854;421319;8,8;210503;1094855;4,2;1;4853,2;1;579,4;34;36,2;58;21,2;881;4,7;1507;3,2;4653;3,6;7968;13,6;22029;2,2;196928;2,7;WE 272 5871;;
2019088;VENDREDI;01/11/2019;7;01/01/2020;39;2;44;20;48;5;7;-2-20-39-44-48-;-5-7-;0;0;0;0;2;599883;0;4;69859,8;4;43;3178,6;138;747;195,1;387;2025;100,4;250;1583;72,9;6277;32660;16,2;5943;34120;16,4;12109;72892;14,5;40127;199642;7,5;98527;539730;8,3;192547;1088807;5;0;0;0;0;31;241,1;103;13,4;1611;2,9;1549;3,5;10348;1,8;19781;6,1;25722;2,1;278852;2,1;GN 016 3696;;
2019087;MARDI   ;29/10/2019;6;29/12/2019;49;42;28;16;18;10;5;-16-18-28-42-49-;-5-10-;0;0;0;0;1;950560,7;1;5;44279,2;4;25;4331,6;139;644;179,3;288;1417;113,7;286;1397;65,4;3560;19878;21,1;5601;28803;15,4;12976;65663;12,8;18792;107248;11,1;80755;422626;8,4;190475;971501;4,5;0;0;2;2529,4;29;39,5;75;15,2;976;4;1543;2,9;5173;3;8557;11,8;21552;2,1;189555;2,6;JM 809 5354;;
2019086;VENDREDI;25/10/2019;5;25/12/2019;37;50;34;39;40;4;10;-34-37-39-40-50-;-4-10-;0;0;0;0;3;400906,6;0;5;56025,4;3;26;5269,9;121;638;229;245;1350;151,1;257;1443;80,1;3802;21046;25,3;4943;28814;19,5;11288;66268;16;22430;118817;12,6;79364;449947;10;186676;1064972;5,2;0;0;0;0;27;292;61;23,8;970;5,1;1258;4,5;5721;3,4;11708;10,9;20043;2,9;259832;2,4;JT 890 4629;;
2019085;MARDI   ;22/10/2019;4;22/12/2019;2;5;33;47;32;7;8;-2-5-32-33-47-;-7-8-;0;0;0;1;1;882788,6;0;5;41122,3;6;38;2646,6;111;578;185,5;216;1115;134,2;191;1174;72,3;3697;18981;20,6;5085;27336;15,1;9695;54245;14,4;20746;104750;10,5;84270;432939;7,6;154714;833461;4,8;0;0;3;1630,3;25;44,3;56;19,7;954;3,9;1386;3,1;5366;2,8;9125;10,7;22879;1,9;226722;2,1;JQ 996 1948;;
2019084;VENDREDI;18/10/2019;3;18/12/2019;18;22;42;41;8;11;12;-8-18-22-41-42-;-11-12-;0;0;0;2;6;190540,2;1;17;15663,1;7;29;4491,1;121;657;211,4;246;1275;152;367;1802;61;3155;17985;28,1;5487;28627;18,7;18346;86638;11,6;17374;96647;14,8;82113;419915;10,2;280697;1303935;4;1;5810,2;1;693,7;26;56,7;64;23;821;6,1;1489;3,9;4719;4,2;7822;16,6;22365;2,6;195593;3,2;TM 455 2057;;
2019083;MARDI   ;15/10/2019;2;15/12/2019;3;34;31;32;28;4;5;-3-28-31-32-34-;-4-5-;0;0;0;0;2;427808,3;1;9;22142,5;11;19;5130,2;107;489;212,6;237;1199;121;271;1283;64,1;3436;17987;21;4765;25168;15,9;11638;56022;13,5;20632;101152;10,6;77189;398184;8;164852;808691;4,8;0;0;2;2548,1;35;33;55;21;908;4,3;1317;3,4;5608;2,8;9778;10,4;20988;2,2;214761;2,3;UU 140 2448;;
2019082;VENDREDI;11/10/2019;1;11/12/2019;42;45;19;2;14;5;6;-2-14-19-42-45-;-5-6-;0;0;0;2;4;292510,7;0;5;54503,2;7;41;3251,1;176;772;184,1;333;1655;119,9;351;1610;69,9;5250;25895;20;8584;38137;14,3;17168;77470;13,3;28453;141583;10,3;133526;587667;7,4;257755;1155993;4,6;1;6283,6;2;375,1;39;40,8;69;23,1;1314;4,1;2190;2,8;7277;3;11737;11,9;35205;1,8;296674;2,3;HA 646 4621;;
2019081;MARDI   ;08/10/2019;23;08/12/2019;44;15;49;10;7;3;12;-7-10-15-44-49-;-3-12-;0;1;190000000;2;4;5227531,1;8;25;24862,4;15;80;3800,3;387;1775;182,7;723;3555;127,3;940;4105;62,5;10906;51358;23;18819;83674;14,9;45508;199382;11,8;56902;268223;12,4;277755;1237128;8,1;675068;2959529;4,1;0;0;4;3795;75;45,8;206;16,7;2876;4;4720;2,8;14442;3,2;22275;13,6;69511;1,9;549213;2,7;SZ 144 3054;;
2019080;VENDREDI;04/10/2019;22;04/12/2019;44;41;35;9;6;9;6;-6-9-35-41-44-;-6-9-;0;0;0;2;8;2521014,8;3;12;49958,7;36;142;2065;338;1635;191,3;1185;5408;80,7;767;3547;69,8;16784;76747;14,8;16433;76787;15,6;34044;163897;13,9;72350;346714;9,3;263141;1191332;8,1;532759;2484442;4,7;0;0;10;1425,7;97;33,3;293;11;4226;2,6;3756;3,3;17661;2,5;29360;9,7;64054;2;576410;2,4;LO 817 3201;;
2019079;MARDI   ;01/10/2019;21;01/12/2019;40;18;11;2;46;4;1;-2-11-18-40-46-;-1-4-;0;0;0;0;7;2287582,9;2;11;43272,2;14;67;3474,9;259;1312;189,2;491;2733;126,8;555;2856;68,8;7604;40930;22,1;11495;59217;16,1;25911;136223;13,2;43001;225621;11,3;173210;894326;8,5;394576;2058749;4,5;0;0;5;2005,8;61;37,2;116;19,5;1850;4,1;2870;3,1;10446;2,9;17497;11,4;42264;2,1;388412;2,5;UL 358 3515;;
2019078;VENDREDI;27/09/2019;20;27/11/2019;46;43;41;37;24;8;2;-24-37-41-43-46-;-2-8-;0;0;0;0;4;4698171,8;5;8;69827,4;17;84;3252,8;200;1341;217,3;527;3553;114,5;471;3070;75,1;9248;54412;19,5;10426;64732;17,3;23479;145079;14,6;58207;328406;9,1;161922;973849;9,2;360590;2172833;5;0;0;3;3570,7;51;47,6;131;18,5;2318;3,5;2401;3,9;14610;2,2;30290;7;38466;2,5;466375;2,2;RH 023 5463;;
2019077;MARDI   ;24/09/2019;19;24/11/2019;2;48;33;47;42;1;2;-2-33-42-47-48-;-1-2-;0;0;0;0;3;5012664;4;16;28674,3;10;52;4315,5;164;1068;224,1;401;2515;132,8;418;2566;73,8;6299;38002;22,9;9117;53715;17,1;20319;121412;14,3;36355;211329;11,6;144759;824779;8,9;316016;1862827;4,8;0;0;1;8899,9;44;45,8;89;22,6;1445;4,7;2173;3,6;8451;3,2;15109;11,7;34916;2,3;375857;2,3;RO 010 4223;;
2019076;VENDREDI;20/09/2019;18;20/11/2019;25;50;21;38;8;4;8;-8-21-25-38-50-;-4-8-;0;0;0;5;13;162729,9;8;36;13686,7;23;99;2434,3;360;1749;146,9;785;4132;86,8;756;3634;56;11635;59500;15,7;13635;70884;13,9;28788;149809;12,5;60348;305185;8,6;196936;1018783;7,8;417533;2163090;4,5;2;4594,5;9;121,9;81;28,7;198;11,7;2723;2,9;3192;2,8;14121;2,2;21862;9,4;46400;2;398603;2,5;AR 023 1348;;
2019075;MARDI   ;17/09/2019;17;17/11/2019;22;45;43;44;37;1;12;-22-37-43-44-45-;-1-12-;0;0;0;2;7;231742,1;2;10;37782,7;10;43;4297,8;150;871;226,3;371;1978;139,1;389;2156;72,3;5177;29092;24,7;7151;40987;18,5;20230;108027;13,3;29084;161118;12,6;105396;595679;10,2;300213;1613274;4,6;0;0;1;7679,7;35;49,7;99;17,5;1310;4,5;1670;4,1;7205;3,3;13751;11,1;25621;2,7;268751;2,8;JY 367 1749;;
2019074;VENDREDI;13/09/2019;16;13/11/2019;12;1;42;47;27;6;7;-1-12-27-42-47-;-6-7-;0;0;0;0;4;519277,9;3;16;30236,4;21;83;2850,9;387;1521;165,9;863;3434;102,5;727;2945;67,8;12564;50135;18,3;19493;72468;13,4;33977;139908;13,1;65264;264157;9,8;280036;1069841;7,2;499656;2079564;4,6;0;0;4;2898;84;31,2;190;13,8;2725;3,2;4524;2,2;14476;2,4;22733;10,1;63185;1,6;505241;2,2;WD 664 8778;;
2019073;MARDI   ;10/09/2019;15;10/11/2019;3;30;49;25;22;3;6;-3-22-25-30-49-;-3-6-;0;0;0;2;3;482131,3;1;6;56146,9;3;45;3661,7;209;1105;159;605;2885;85;389;2210;62,9;8744;41068;15,6;9388;49165;13,7;19097;101295;12,6;46041;216090;8,3;138135;721509;7,5;274736;1470302;4,5;0;0;1;7081,6;54;29,7;153;10,4;2308;2,3;2293;2,7;11600;1,8;17917;7,9;34182;1,8;284355;2,4;UJ 108 4580;;
2019072;VENDREDI;06/09/2019;14;06/11/2019;13;22;40;10;48;5;2;-10-13-22-40-48-;-2-5-;0;0;0;3;6;287720,4;3;11;36552,7;14;88;2234,8;289;1336;157;684;3555;82,3;556;2793;59,4;10058;50958;15;11969;61691;13,1;24837;123459;12,3;51206;260116;8,3;173046;879585;7,3;349879;1773357;4,4;1;7583,4;4;226,3;60;32;163;11,8;2414;2,7;2860;2,6;12363;2,1;19315;8,7;41845;1,8;345603;2,4;OK 134 4395;;
