annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_en_france;nombre_de_gagnant_au_rang1_en_europe;rapport_du_rang1;nombre_de_gagnant_au_rang2_en_france;nombre_de_gagnant_au_rang2_en_europe;rapport_du_rang2;nombre_de_gagnant_au_rang3_en_france;nombre_de_gagnant_au_rang3_en_europe;rapport_du_rang3;nombre_de_gagnant_au_rang4_en_france;nombre_de_gagnant_au_rang4_en_europe;rapport_du_rang4;nombre_de_gagnant_au_rang5_en_france;nombre_de_gagnant_au_rang5_en_europe;rapport_du_rang5;nombre_de_gagnant_au_rang6_en_france;nombre_de_gagnant_au_rang6_en_europe;rapport_du_rang6;nombre_de_gagnant_au_rang7_en_france;nombre_de_gagnant_au_rang7_en_europe;rapport_du_rang7;nombre_de_gagnant_au_rang8_en_france;nombre_de_gagnant_au_rang8_en_europe;rapport_du_rang8;nombre_de_gagnant_au_rang9_en_france;nombre_de_gagnant_au_rang9_en_europe;rapport_du_rang9;nombre_de_gagnant_au_rang10_en_france;nombre_de_gagnant_au_rang10_en_europe;rapport_du_rang10;nombre_de_gagnant_au_rang11_en_france;nombre_de_gagnant_au_rang11_en_europe;rapport_du_rang11;nombre_de_gagnant_au_rang12_en_france;nombre_de_gagnant_au_rang12_en_europe;rapport_du_rang12;nombre_de_gagnant_au_rang13_en_france;nombre_de_gagnant_au_rang13_en_europe;rapport_du_rang13;numero_jokerplus;devise;
2013104;VENDREDI;27/12/2013;26/02/2014;1;22;6;13;28;10;5;-1-6-13-22-28-;-5-10-;0;0;0;3;11;159061,4;7;28;20829,4;21;87;3351,8;519;1888;135,1;1232;4306;59,2;780;3264;55,8;9679;42466;19,7;18023;70862;11,3;43249;157019;8,5;44022;206501;11,4;217512;900498;7,1;498858;1932405;3,3;2 561 894;eur;
2013103;MARDI   ;24/12/2013;23/02/2014;5;31;43;50;19;6;2;-5-19-31-43-50-;-2-6-;0;0;0;1;5;310481,9;1;8;64683,7;8;46;5624,6;204;1008;224,5;490;2232;101,4;610;2731;59,2;8840;41355;17,9;10256;45377;15,6;21139;93673;12,7;51249;232031;9;153326;677996;8,3;319901;1385278;4,2;6 358 915;eur;
2013102;VENDREDI;20/12/2013;19/02/2014;13;22;17;43;12;10;3;-12-13-17-22-43-;-3-10-;0;0;0;1;6;297853,4;3;14;42550,4;16;61;4882,8;376;1341;194,3;722;2966;87,8;692;2724;68,3;10464;39669;21,5;16359;64216;12,7;35811;140480;9,8;50362;198624;12,1;225186;892592;7,3;489991;1942180;3,4;7 810 794;eur;
2013101;MARDI   ;17/12/2013;16/02/2014;41;6;8;37;27;7;10;-6-8-27-37-41-;-7-10-;0;0;0;2;5;232157,9;1;3;128976,6;9;32;6045,7;172;696;243,2;313;1507;112,3;300;1403;86,1;4799;21886;25,4;7033;32195;16,5;14899;69142;12,9;25603;116134;13,5;110372;497873;8,5;235292;1059837;4,1;7 518 795;eur;
2013100;VENDREDI;13/12/2013;12/02/2014;24;22;23;1;31;6;11;-1-22-23-24-31-;-6-11-;0;0;0;2;4;486045;2;15;43204;18;50;6480,6;365;1140;248,7;944;2784;101,8;747;2533;79,9;11246;36424;25,5;16921;53266;16,7;42176;126441;11,8;64436;209868;12,5;252971;798804;8,9;644389;1905685;3,8;3 997 967;eur;
2013099;MARDI   ;10/12/2013;09/02/2014;49;50;24;6;35;7;1;-6-24-35-49-50-;-1-7-;0;0;0;0;2;511544,5;0;4;85257,4;6;31;5500,4;102;601;248,2;287;1577;94,6;291;1529;69,7;4819;22652;21,6;5295;27960;16,7;10267;54970;14,3;28684;129449;10,7;84140;421703;8,8;164010;842197;4,5;7 922 738;eur;
2013098;VENDREDI;06/12/2013;05/02/2014;18;31;36;2;1;7;10;-1-2-18-31-36-;-7-10-;0;0;0;0;2;741485,4;0;5;98864,7;9;37;6680;140;657;329,1;329;1603;134,9;379;1700;90,8;5663;25447;27,9;8398;37181;18,2;18219;80648;14,1;31710;139978;14,3;137514;590296;9,2;300448;1289370;4,3;4 084 833;eur;
2013097;MARDI   ;03/12/2013;02/02/2014;32;6;29;15;13;2;9;-6-13-15-29-32-;-2-9-;0;0;0;1;2;475347,3;1;3;105632,7;15;65;2437,6;165;858;161,5;330;1668;83,1;574;2266;43,7;7286;29285;15,5;7493;36385;11,9;13768;68753;10,6;36119;145288;8,8;103540;494730;7;188368;914008;3,9;2 462 263;eur;
2013096;VENDREDI;29/11/2013;29/01/2014;10;23;7;2;43;4;7;-2-7-10-23-43-;-4-7-;0;1;15000000;2;5;297135,9;1;6;82537,7;22;82;3019,6;429;1525;142;636;2579;84;1135;4070;38;14751;55389;12,8;16255;63534;10,7;26403;108386;10,5;68086;265961;7,5;196639;819372;6,6;338825;1447131;3,8;4 119 023;eur;
2013095;MARDI   ;26/11/2013;26/01/2014;44;27;23;42;19;5;3;-19-23-27-42-44-;-3-5-;0;1;32148861;1;2;512038,9;5;8;42669,9;19;64;2666,8;177;912;163,7;330;1578;94,6;595;3135;34;7989;43853;11,1;8305;40358;11,6;13879;66459;11,8;38408;209623;6,6;115489;559194;6,7;191494;923850;4,1;6 063 859;eur;
2013094;VENDREDI;22/11/2013;22/01/2014;40;26;13;25;50;8;9;-13-25-26-40-50-;-8-9-;0;0;0;5;13;119096,2;3;12;43006,9;8;60;4300,6;225;1147;196,8;435;2046;110,3;502;2333;69,1;7412;34268;21,6;10940;51534;13,7;19523;95111;12,5;39790;179120;11,7;165800;747478;7,5;296392;1383047;4,1;4 896 040;eur;
2013093;MARDI   ;19/11/2013;19/01/2014;45;14;19;36;15;1;10;-14-15-19-36-45-;-1-10-;0;0;0;0;4;245427,6;2;7;46748,1;1;19;8611,4;90;465;307,8;246;1188;120,5;220;1017;100,5;3583;16244;28,9;4877;23652;19;12222;59713;12,6;19968;87926;15,1;78645;367278;9,8;198689;936517;3,9;7 818 365;eur;
2013092;VENDREDI;15/11/2013;15/01/2014;13;42;3;15;29;4;1;-3-13-15-29-42-;-1-4-;0;1;100000000;3;9;328771;3;24;41096,3;29;126;3913,9;686;2463;175,1;1492;5594;77,1;1268;5076;60,7;18181;70063;20,2;28442;105363;12,8;59433;227662;10;93953;361622;11;386413;1426925;7,6;794601;3036600;3,6;3 264 309;eur;
2013091;MARDI   ;12/11/2013;12/01/2014;29;48;40;37;14;11;2;-14-29-37-40-48-;-2-11-;0;0;0;1;5;192021,6;2;6;53339,3;6;24;6667,4;127;600;233,3;273;1303;107,4;203;1159;86,2;2934;16861;27,2;4531;23969;18,3;10303;53292;13,8;16951;93111;13,9;66942;356791;9,8;153219;789817;4,5;7 292 009;eur;
2013090;VENDREDI;08/11/2013;08/01/2014;35;20;42;43;28;8;10;-20-28-35-42-43-;-8-10-;1;2;7500000;0;5;291709,5;0;3;162060,8;9;41;5929;185;805;264,2;394;1731;122,8;370;1766;86;5245;25454;27,4;8432;37874;17,6;18576;82224;13,6;28297;134688;14,6;122493;559249;9,5;271097;1241696;4,4;9 336 196;eur;
2013089;MARDI   ;05/11/2013;05/01/2014;35;38;12;13;6;2;3;-6-12-13-35-38-;-2-3-;0;1;21594781;1;3;329739;3;5;65947,8;11;33;4996;152;763;189;244;1338;107,8;319;1600;64,4;4996;24147;19,6;7717;35410;12,8;12399;60519;12,5;24887;122698;10,9;115197;529755;6,8;188982;903289;4,1;2 258 410;eur;
2013088;VENDREDI;01/11/2013;01/01/2014;19;33;29;30;7;3;8;-7-19-29-30-33-;-3-8-;0;0;0;2;6;222779,1;2;14;31825,5;17;73;3051,7;224;1112;175,2;368;2011;96,9;814;3343;41,6;11089;47216;13,5;11126;51295;11,9;19857;94942;10,8;54043;234186;7,7;151365;708105;6,9;272993;1292245;3,8;3 215 063;eur;
2013087;MARDI   ;29/10/2013;29/12/2013;32;9;10;30;37;6;2;-9-10-30-32-37-;-2-6-;1;1;15000000;2;4;235100,1;1;3;104488,9;4;31;5055,9;82;518;264,7;182;1011;135,6;299;1556;62,9;5216;26924;16,7;4944;25128;17,1;10281;50714;14,2;30496;152910;8,3;84782;416630;8,2;173247;834651;4,2;2 805 320;eur;
2013086;VENDREDI;25/10/2013;25/12/2013;2;31;38;3;10;6;10;-2-3-10-31-38-;-6-10-;0;1;31714028;1;3;507822,7;0;1;507822,7;7;47;5402,3;164;766;290;382;1783;124,6;370;1845;86;5504;27965;26,1;9173;40929;17;22833;97629;12;28604;150990;13,6;135587;616414;9;346720;1495515;3,8;8 692 635;eur;
2013085;MARDI   ;22/10/2013;22/12/2013;39;33;29;44;41;9;11;-29-33-39-41-44-;-9-11-;0;0;0;0;0;0;1;2;655757,3;3;24;6830,8;97;503;285,1;230;1147;125;241;1324;77,3;3465;18873;24,9;4851;25620;17,5;10652;54533;13,9;18473;99379;13,4;72824;381706;9,4;158652;821621;4,4;6 956 426;eur;
2013084;VENDREDI;18/10/2013;18/12/2013;25;36;47;46;5;2;6;-5-25-36-46-47-;-2-6-;0;0;0;1;3;489776,8;0;3;163258,9;4;36;6802,4;133;727;294,7;279;1589;134,8;440;2195;69,7;7732;36632;19,2;7142;36127;18,6;14101;71811;15,7;48315;222425;8,9;122719;582226;9,2;243807;1159784;4,7;7 389 869;eur;
2013083;MARDI   ;15/10/2013;15/12/2013;39;18;27;43;47;7;4;-18-27-39-43-47-;-4-7-;0;1;50899071;1;2;569896,7;3;10;37993,1;24;76;2499,5;237;985;168,7;426;1857;89,5;644;2682;44,2;8376;35849;15,2;7956;36882;14,1;14502;68093;12,9;43314;186669;8,2;105933;512393;8,1;188609;930458;4,5;1 633 163;eur;
2013082;VENDREDI;11/10/2013;11/12/2013;6;17;23;12;43;5;9;-6-12-17-23-43-;-5-9-;0;0;0;1;5;325019,1;3;19;28510,4;35;115;2355,2;382;1539;153,9;647;2807;84,4;1048;4304;39,3;14369;59686;13;15890;65915;11,2;27918;114941;10,8;70775;299851;7,3;213225;885135;6,7;374996;1550531;3,9;2 749 894;eur;
2013081;MARDI   ;08/10/2013;08/12/2013;23;24;33;42;26;5;3;-23-24-26-33-42-;-3-5-;0;0;0;0;0;0;1;5;283010,9;10;58;3049,6;116;643;240,7;256;1214;127,4;516;2549;43,3;7095;38549;13,1;7469;36590;13,2;12989;61007;13,4;38563;202774;7;110388;538582;7,2;185771;895369;4,4;9 426 776;eur;
2013080;VENDREDI;04/10/2013;04/12/2013;50;35;6;24;20;5;10;-6-20-24-35-50-;-5-10-;0;0;0;2;7;222668,6;1;10;51956;8;52;4995,7;246;1259;180,5;374;1940;117,1;437;2256;71,9;6744;34294;21,7;8792;43254;16,5;19047;88361;13,5;35918;177687;11,8;140032;659199;8,6;306584;1362253;4,2;0 986 289;eur;
2013079;MARDI   ;01/10/2013;01/12/2013;19;44;48;25;23;9;8;-19-23-25-44-48-;-8-9-;0;0;0;2;4;251014,5;0;5;66937,2;14;33;5071;166;722;202,8;252;1278;114,5;339;1563;66,9;4718;22680;21,2;7171;33112;13,8;11538;58287;13,2;24045;118201;11,5;104813;489713;7,5;177776;880902;4,2;9 450 912;eur;
2013078;VENDREDI;27/09/2013;27/11/2013;41;15;11;38;43;6;2;-11-15-38-41-43-;-2-6-;0;1;65793284;0;5;357547,5;2;10;59591,2;17;91;3274,2;233;1092;238,7;450;2207;118,1;690;3222;57,7;10752;49379;17,3;10803;50055;16,3;21728;99397;13,8;62808;275793;8,7;170297;765310;8,5;338962;1508919;4,4;2 858 419;eur;
2013077;MARDI   ;24/09/2013;24/11/2013;43;20;10;28;26;9;11;-10-20-26-28-43-;-9-11-;0;0;0;2;8;145647,2;1;5;77678,5;7;33;5884,7;159;769;220,9;363;1687;100,7;309;1546;78,5;4515;22261;25;7528;33705;15,8;17982;79657;11,2;23837;117819;13,3;109996;495986;8,6;256966;1151132;3,7;6 249 497;eur;
2013076;VENDREDI;20/09/2013;20/11/2013;5;11;38;35;45;2;3;-5-11-35-38-45-;-2-3-;0;0;0;0;4;416730,5;4;9;61737,8;7;48;5787,9;261;1333;182,3;475;2191;110,9;503;2466;70,4;7605;36146;22;12458;58110;13,1;21385;104759;12,2;42534;198698;11,3;185686;821926;7,4;309853;1427823;4,3;7 524 990;eur;
2013075;MARDI   ;17/09/2013;17/11/2013;44;17;21;42;13;11;9;-13-17-21-42-44-;-9-11-;0;0;0;1;3;363582,8;1;10;36358,2;7;39;4661,3;145;829;191,8;351;1896;83,8;312;1638;69,3;4384;23064;22,6;7504;36649;13,6;17098;82782;10,1;21761;114631;12,8;102679;502661;7,9;233480;1132911;3,6;7 790 058;eur;
2013074;VENDREDI;13/09/2013;13/11/2013;14;27;6;4;33;10;5;-4-6-14-27-33-;-5-10-;0;0;0;0;7;272629,4;4;12;53011,2;22;52;6116,6;462;1486;187,2;1107;3331;83,5;931;3110;63,9;12505;42189;21,6;20692;66028;13,2;49041;148465;9,9;64268;216635;11,9;282529;909287;7,6;650633;1984751;3,6;8 610 432;eur;
2013073;MARDI   ;10/09/2013;10/11/2013;7;28;30;14;11;2;10;-7-11-14-28-30-;-2-10-;0;0;0;6;17;59326,4;5;25;13447,3;15;47;3576,4;274;1206;121,9;821;3500;42;496;1851;56,7;5550;22714;21,2;9631;43643;10,5;24366;106863;7,2;25995;109177;12,5;109717;501752;7,3;264484;1186478;3,1;0 174 992;eur;
2013072;VENDREDI;06/09/2013;06/11/2013;25;11;32;23;37;7;4;-11-23-25-32-37-;-4-7-;0;2;12801474;1;6;265073,6;3;13;40780,5;24;83;3193,6;209;1118;207,4;398;2060;112,5;843;3809;43,4;12546;52366;14,5;11325;54417;13,3;19840;97414;12,5;65998;268135;8;167582;786226;7,4;302457;1431907;4,1;9 615 041;eur;
2013071;MARDI   ;03/09/2013;03/11/2013;5;18;16;42;9;7;9;-5-9-16-18-42-;-7-9-;0;0;0;1;5;203879,2;1;4;84949,6;23;59;2879,6;189;834;178,2;294;1425;104,3;582;2381;44,5;7863;33164;14,7;9086;39493;11,8;14562;67872;11,5;36712;162760;8,4;123138;548258;6,8;199025;954027;4;9 201 732;eur;
2013070;VENDREDI;30/08/2013;30/10/2013;45;25;17;36;2;5;9;-2-17-25-36-45-;-5-9-;1;2;12821112;1;13;122794,8;5;15;35474;14;77;3455,2;257;1226;189,8;425;2072;112,3;753;3360;49,4;10508;50261;15,2;10477;50919;14,3;18076;89764;13,7;56900;271821;7,9;154977;752836;7,7;265915;1311218;4,5;0 922 573;eur;
2013069;MARDI   ;27/08/2013;27/10/2013;7;40;38;43;30;6;2;-7-30-38-40-43-;-2-6-;0;0;0;1;2;513509,7;0;4;85584,9;4;29;5902,4;94;506;295,9;224;1162;128,8;301;1662;64,3;5019;27351;17,9;5507;27324;17,2;10367;53507;14,7;32092;162734;8,5;80486;428005;8,7;167696;859226;4,4;0 988 789;eur;
2013068;VENDREDI;23/08/2013;23/10/2013;30;37;26;6;1;8;5;-1-6-26-30-37-;-5-8-;0;1;93948087;0;4;521220,4;1;9;77217,8;25;104;3341,1;254;1279;237,7;493;2564;118,5;886;4124;52,6;13521;62903;15,8;13229;62646;15,2;25526;121096;13,2;74374;356602;7,9;198763;946497;8;378298;1787122;4,3;3 200 670;eur;
2013067;MARDI   ;20/08/2013;20/10/2013;42;11;50;49;5;8;11;-5-11-42-49-50-;-8-11-;0;0;0;0;4;340199,1;0;4;113399,7;6;36;6299,9;155;844;235,1;279;1621;122,4;338;2059;68,8;4916;28352;22,9;7144;39278;15,8;15261;81657;12,8;25590;146007;12,6;109887;579021;8,6;243010;1259058;4;2 572 604;eur;
2013066;VENDREDI;16/08/2013;16/10/2013;39;20;24;37;27;5;10;-20-24-27-37-39-;-5-10-;0;0;0;0;5;348541,1;3;7;82985,9;14;61;4761,4;223;1154;220,2;452;2242;113,3;444;2474;73,3;6280;37896;22;9080;50828;15,7;19838;102799;13;34226;201864;11,6;138684;757614;8,4;301229;1552923;4,2;9 822 499;eur;
2013065;MARDI   ;13/08/2013;13/10/2013;5;20;47;17;50;1;4;-5-17-20-47-50-;-1-4-;0;0;0;0;1;1218458,4;0;4;101538,2;3;28;7252,7;145;797;222,9;276;1671;106,3;320;1741;72,9;4868;26053;22,4;6992;35488;15,7;14276;75044;12,5;27333;142231;11,6;106809;534557;8,3;216951;1127821;4;1 743 387;eur;
2013064;VENDREDI;09/08/2013;09/10/2013;24;4;23;7;9;9;8;-4-7-9-23-24-;-8-9-;0;0;0;3;12;140832,6;4;13;43333,1;23;88;3200,7;482;2175;113,3;864;3724;66,1;925;3851;45,7;10691;47494;17;19951;80580;9,6;33466;145170;8,9;48696;227709;10;230493;1003059;6,1;390858;1817201;3,4;5 421 522;eur;
2013063;MARDI   ;06/08/2013;06/10/2013;17;47;16;49;31;3;11;-16-17-31-47-49-;-3-11-;0;0;0;0;2;556392;1;6;61821,3;3;19;9761,2;113;577;281,2;202;1130;143,6;235;1312;88,3;3697;20205;26,3;4896;28176;18,1;10928;59573;14,3;20779;108966;13,8;81694;446599;9,1;180640;937858;4,4;1 003 645;eur;
2013062;VENDREDI;02/08/2013;02/10/2013;42;36;48;37;21;7;4;-21-36-37-42-48-;-4-7-;0;0;0;0;4;394295,5;1;9;58414,1;7;44;5974,1;155;867;265,2;322;1721;133,6;586;2712;60,5;8628;40816;18,5;8196;43525;16,6;14659;80776;15;54272;237626;8,9;124238;647169;8,9;226304;1204890;4,9;0 095 732;eur;
2013061;MARDI   ;30/07/2013;29/09/2013;3;14;4;11;43;1;6;-3-4-11-14-43-;-1-6-;0;0;0;2;4;258528,4;0;6;57450,7;8;39;4419,2;160;723;208,5;318;1531;98,5;340;1880;57,2;5488;26562;18,6;7001;33738;14;16317;74090;10,7;27929;136034;10,2;99360;490911;7,7;221041;1069784;3,6;3 891 057;eur;
2013060;VENDREDI;26/07/2013;25/09/2013;23;38;29;12;49;4;3;-12-23-29-38-49-;-3-4-;0;0;0;2;6;378549,6;3;16;47318,7;6;93;4070,4;297;1878;176,3;490;3373;98,2;474;3700;63,9;7245;54869;19,8;11764;78470;13,2;19927;145068;12;39231;291348;10,5;163456;1110361;7,5;277874;2049639;4,1;0 701 130;eur;
2013059;MARDI   ;23/07/2013;22/09/2013;19;14;44;16;15;4;5;-14-15-16-19-44-;-4-5-;0;1;15000000;1;5;197499,9;1;1;329166,5;6;40;4114,5;114;626;230;240;1229;117,1;333;1816;56,6;5021;26682;17,7;6432;32979;13,7;11344;56903;13,3;25708;136132;9,8;103385;516362;7;174942;865483;4,2;5 639 742;eur;
2013058;VENDREDI;19/07/2013;18/09/2013;24;35;13;26;16;5;2;-13-16-24-26-35-;-2-5-;0;1;15000000;1;4;378116,6;2;7;72022,2;19;95;2653,4;293;1333;165,4;465;2209;99,8;820;4053;38,8;11080;53410;13,5;12331;59271;11,6;20659;96782;12;55509;266450;7,6;169431;802636;6,9;286295;1349268;4,2;9 521 544;eur;
2013057;MARDI   ;16/07/2013;15/09/2013;50;34;47;19;23;4;6;-19-23-34-47-50-;-4-6-;0;1;22078146;1;3;353907,2;0;3;117969;6;43;4115,2;97;586;264,2;244;1400;110,5;333;1856;59,5;5155;27666;18,3;5645;30253;16;11704;63406;12,9;30641;154386;9,3;85940;450737;8,6;183526;948503;4,1;1 020 539;eur;
2013056;VENDREDI;12/07/2013;11/09/2013;26;42;33;18;32;3;2;-18-26-32-33-42-;-2-3-;0;0;0;0;0;0;1;5;412933,2;11;53;4869,4;250;1046;215,8;409;1715;131,6;458;2292;70,3;6789;32295;22,9;10878;47717;14,8;17928;83117;14,3;37613;177964;11,7;162021;723564;7,8;264198;1241700;4,6;1 755 859;eur;
2013055;MARDI   ;09/07/2013;08/09/2013;18;16;38;49;31;10;4;-16-18-31-38-49-;-4-10-;0;1;33574531;0;1;1134284,6;1;3;126031,6;2;31;6098,3;129;635;260,4;271;1403;117,9;268;1309;90,2;4020;19521;27,8;5911;28858;18;13341;66241;13,1;21467;105422;14,5;86652;429078;9,6;205477;1000157;4,2;5 666 617;eur;
2013054;VENDREDI;05/07/2013;04/09/2013;28;4;33;12;15;1;10;-4-12-15-28-33-;-1-10-;0;0;0;3;5;330378,9;2;19;28980,6;13;46;5985,1;332;1322;182,2;848;3833;62,8;498;2056;83,6;7017;29674;26,6;12498;52674;14,3;34494;148460;8,5;34252;151142;14,8;163083;704047;8,6;442068;1895871;3,2;8 267 028;eur;
2013053;MARDI   ;02/07/2013;01/09/2013;14;13;11;28;30;4;5;-11-13-14-28-30-;-4-5-;0;0;0;3;13;84483,9;4;13;28161,3;13;77;2377,2;304;1490;107,4;507;2172;73,7;615;2702;42,3;6994;33105;15,8;11828;52929;9,5;19420;86089;9,8;30242;151343;9,8;146433;663934;6;248544;1112055;3,7;8 831 240;eur;
2013052;VENDREDI;28/06/2013;28/08/2013;15;1;47;28;35;7;1;-1-15-28-35-47-;-1-7-;1;1;15000000;1;8;219135,4;2;22;26561,8;17;67;4360,9;250;1139;224,4;463;2150;118,9;684;2906;62,8;10711;43986;19;11228;51466;15,6;20448;98305;13,7;57656;234880;10,1;175372;786010;8,1;319032;1489092;4,4;6 848 917;eur;
2013051;MARDI   ;25/06/2013;25/08/2013;4;13;35;27;5;2;1;-4-5-13-27-35-;-1-2-;0;2;93968807;1;8;365235,3;5;20;48698;20;86;5662,5;542;2438;174,7;1085;4918;86,6;1037;4934;61,6;15521;71774;19,5;24080;104021;12,8;48447;215973;10,4;74729;353884;11,1;330778;1446703;7,4;655824;2973400;3,6;7 840 875;eur;
2013050;VENDREDI;21/06/2013;21/08/2013;30;11;36;45;10;1;2;-10-11-30-36-45-;-1-2-;0;0;0;0;8;409039,1;5;18;60598,3;22;112;4869,5;453;2092;228,1;922;4243;112,4;984;4734;72;15654;72704;21,5;21641;96694;15,5;42619;198263;12,7;83693;384140;11,5;333505;1461319;8,2;650729;2962275;4,1;9 057 420;eur;
2013049;MARDI   ;18/06/2013;18/08/2013;24;33;17;41;44;11;1;-17-24-33-41-44-;-1-11-;0;0;0;1;13;176075,6;11;21;36333;18;90;4238,8;381;1687;197,8;1091;4286;77,8;803;3462;68,8;10246;49945;21,9;13648;65251;16;36296;162164;10,8;53496;261844;11,8;180155;903384;9,2;456170;2184796;3,9;7 914 653;eur;
